,aggregation,classifier,selector,average_auc,std_dev_auc
0,largest,logisticregression,lasso,0.7382072829131652,0.042632441276982756
1,largest,logisticregression,mrmr,0.7317436974789916,0.022468785042044564
2,largest,logisticregression,anova,0.7167436974789915,0.03053839993977554
3,largest,randomf,lasso,0.7234733893557423,0.033893354862000874
4,largest,randomf,mrmr,0.7084138655462185,0.10487542198839125
5,largest,randomf,anova,0.693235294117647,0.06176801267213953
6,largest,xgb,lasso,0.6995098039215686,0.06255332212136969
7,largest,xgb,mrmr,0.6921218487394958,0.08161640030435686
8,largest,xgb,anova,0.6829901960784314,0.07899141194576817
9,unweighted,logisticregression,lasso,0.732766106442577,0.09038789556758496
10,unweighted,logisticregression,mrmr,0.7436204481792718,0.08330196341270707
11,unweighted,logisticregression,anova,0.717233893557423,0.09102972260472036
12,unweighted,randomf,lasso,0.6738445378151261,0.05829983342723048
13,unweighted,randomf,mrmr,0.6794327731092435,0.05569978663864586
14,unweighted,randomf,anova,0.6832703081232493,0.10162883253848473
15,unweighted,xgb,lasso,0.6352941176470588,0.060077422213676915
16,unweighted,xgb,mrmr,0.6556372549019608,0.06756239772773734
17,unweighted,xgb,anova,0.6345098039215686,0.0912234987813318
18,weighted,logisticregression,lasso,0.7846218487394958,0.05528234927651972
19,weighted,logisticregression,mrmr,0.7885154061624651,0.06388174582006059
20,weighted,logisticregression,anova,0.7167577030812324,0.09536757063397988
21,weighted,randomf,lasso,0.7447163865546219,0.07245315824343294
22,weighted,randomf,mrmr,0.7210014005602241,0.08416507719817157
23,weighted,randomf,anova,0.6812114845938375,0.10246048016329141
24,weighted,xgb,lasso,0.6778991596638655,0.07714038552639646
25,weighted,xgb,mrmr,0.6720868347338935,0.05428136717164487
26,weighted,xgb,anova,0.6318207282913165,0.07784301881952839
27,3largest,logisticregression,lasso,0.8013095238095239,0.06735640717532644
28,3largest,logisticregression,mrmr,0.747703081232493,0.06804507656792601
29,3largest,logisticregression,anova,0.7838375350140055,0.08735407630328368
30,3largest,randomf,lasso,0.7408053221288515,0.05277402640195725
31,3largest,randomf,mrmr,0.7447478991596639,0.07551740985290772
32,3largest,randomf,anova,0.7300280112044819,0.06565766355329757
33,3largest,xgb,lasso,0.6806372549019608,0.03926589298095251
34,3largest,xgb,mrmr,0.6814285714285713,0.10978648463848298
35,3largest,xgb,anova,0.6826960784313726,0.03737933611315542
