Fold,Features,Classifier_Params,AUC
outer_1_inner_1,"Index(['original_gldm_SmallDependenceEmphasis',
       'original_glrlm_RunLengthNonUniformityNormalized',
       'original_glszm_SizeZoneNonUniformityNormalized',
       'original_glszm_SmallAreaEmphasis', 'original_glszm_ZonePercentage'],
      dtype='object')","{'l1_ratio': 0.5, 'C': 0.1}",0.7407407407407407
outer_1_inner_2,"Index(['original_shape_Flatness', 'original_shape_LeastAxisLength',
       'original_gldm_SmallDependenceEmphasis',
       'original_glszm_SizeZoneNonUniformityNormalized',
       'original_glszm_SmallAreaEmphasis'],
      dtype='object')","{'l1_ratio': 0.3, 'C': 1}",0.7058823529411765
outer_1_inner_3,"Index(['original_gldm_SmallDependenceEmphasis',
       'original_glrlm_RunLengthNonUniformityNormalized',
       'original_glrlm_RunPercentage', 'original_glrlm_ShortRunEmphasis',
       'original_glszm_ZonePercentage'],
      dtype='object')","{'l1_ratio': 0.3, 'C': 0.1}",0.6712962962962963
outer_1_inner_4,"Index(['n_lesions', 'original_shape_Flatness',
       'original_gldm_SmallDependenceEmphasis',
       'original_glrlm_RunLengthNonUniformityNormalized',
       'original_glszm_ZonePercentage'],
      dtype='object')","{'l1_ratio': 0.3, 'C': 0.1}",0.764423076923077
outer_1_inner_5,"Index(['n_lesions', 'original_gldm_SmallDependenceEmphasis',
       'original_glszm_SizeZoneNonUniformityNormalized',
       'original_glszm_SmallAreaEmphasis', 'original_glszm_ZonePercentage'],
      dtype='object')","{'l1_ratio': 0.3, 'C': 0.1}",0.7355769230769231
outer_2_inner_1,"Index(['n_lesions', 'original_shape_Flatness',
       'original_gldm_SmallDependenceEmphasis',
       'original_glrlm_RunLengthNonUniformityNormalized',
       'original_glrlm_ShortRunEmphasis'],
      dtype='object')","{'l1_ratio': 0.3, 'C': 0.1}",0.7008928571428572
outer_2_inner_2,"Index(['original_shape_Flatness', 'original_gldm_SmallDependenceEmphasis',
       'original_glszm_SizeZoneNonUniformityNormalized',
       'original_glszm_SmallAreaEmphasis', 'original_glszm_ZonePercentage'],
      dtype='object')","{'l1_ratio': 0.3, 'C': 0.1}",0.746606334841629
outer_2_inner_3,"Index(['original_shape_Flatness', 'original_gldm_SmallDependenceEmphasis',
       'original_glrlm_RunLengthNonUniformityNormalized',
       'original_glszm_SizeZoneNonUniformityNormalized',
       'original_glszm_ZonePercentage'],
      dtype='object')","{'l1_ratio': 1, 'C': 1}",0.8169642857142857
outer_2_inner_4,"Index(['original_shape_Flatness', 'original_gldm_SmallDependenceEmphasis',
       'original_glszm_SizeZoneNonUniformityNormalized',
       'original_glszm_SmallAreaEmphasis', 'original_glszm_ZonePercentage'],
      dtype='object')","{'l1_ratio': 0.3, 'C': 1}",0.8333333333333335
outer_2_inner_5,"Index(['original_shape_Maximum2DDiameterColumn',
       'original_gldm_SmallDependenceEmphasis',
       'original_glrlm_RunLengthNonUniformityNormalized',
       'original_glrlm_ShortRunEmphasis', 'original_glszm_ZonePercentage'],
      dtype='object')","{'l1_ratio': 0.3, 'C': 1}",0.6607142857142857
outer_3_inner_1,"Index(['original_shape_Flatness', 'original_shape_LeastAxisLength',
       'original_gldm_DependenceNonUniformityNormalized',
       'original_gldm_SmallDependenceEmphasis',
       'original_glszm_ZonePercentage'],
      dtype='object')","{'l1_ratio': 0.3, 'C': 0.1}",0.835978835978836
outer_3_inner_2,"Index(['original_shape_Flatness', 'original_gldm_SmallDependenceEmphasis',
       'original_glrlm_RunLengthNonUniformityNormalized',
       'original_glszm_SizeZoneNonUniformityNormalized',
       'original_glszm_ZonePercentage'],
      dtype='object')","{'l1_ratio': 0.5, 'C': 0.1}",0.8260869565217391
outer_3_inner_3,"Index(['original_gldm_SmallDependenceEmphasis',
       'original_glrlm_ShortRunEmphasis',
       'original_glszm_SizeZoneNonUniformityNormalized',
       'original_glszm_SmallAreaEmphasis', 'original_glszm_ZonePercentage'],
      dtype='object')","{'l1_ratio': 0.3, 'C': 0.1}",0.5311004784688995
outer_3_inner_4,"Index(['original_shape_Flatness', 'original_gldm_SmallDependenceEmphasis',
       'original_glrlm_RunLengthNonUniformityNormalized',
       'original_glszm_SizeZoneNonUniformityNormalized',
       'original_glszm_ZonePercentage'],
      dtype='object')","{'l1_ratio': 1, 'C': 1}",0.8509615384615385
outer_3_inner_5,"Index(['original_shape_Flatness', 'original_shape_LeastAxisLength',
       'original_shape_Maximum2DDiameterSlice',
       'original_shape_Maximum3DDiameter',
       'original_glszm_SizeZoneNonUniformityNormalized'],
      dtype='object')","{'l1_ratio': 0.5, 'C': 0.1}",0.6818181818181819
outer_4_inner_1,"Index(['original_shape_Flatness',
       'original_gldm_DependenceNonUniformityNormalized',
       'original_gldm_SmallDependenceEmphasis',
       'original_glszm_SizeZoneNonUniformityNormalized',
       'original_glszm_ZonePercentage'],
      dtype='object')","{'l1_ratio': 0.3, 'C': 0.1}",0.8844444444444445
outer_4_inner_2,"Index(['original_shape_Flatness', 'original_gldm_SmallDependenceEmphasis',
       'original_glrlm_RunLengthNonUniformityNormalized',
       'original_glrlm_RunPercentage', 'original_glszm_ZonePercentage'],
      dtype='object')","{'l1_ratio': 0.3, 'C': 10}",0.73
outer_4_inner_3,"Index(['original_shape_Flatness', 'original_shape_LeastAxisLength',
       'original_gldm_SmallDependenceEmphasis',
       'original_glrlm_ShortRunEmphasis', 'original_glszm_ZonePercentage'],
      dtype='object')","{'l1_ratio': 1, 'C': 1}",0.7857142857142857
outer_4_inner_4,"Index(['n_lesions', 'original_gldm_SmallDependenceEmphasis',
       'original_glszm_SizeZoneNonUniformityNormalized',
       'original_glszm_SmallAreaEmphasis', 'original_glszm_ZonePercentage'],
      dtype='object')","{'l1_ratio': 0.3, 'C': 10}",0.7323232323232323
outer_4_inner_5,"Index(['original_gldm_SmallDependenceEmphasis',
       'original_glrlm_RunLengthNonUniformityNormalized',
       'original_glrlm_ShortRunEmphasis',
       'original_glszm_SizeZoneNonUniformityNormalized',
       'original_glszm_ZonePercentage'],
      dtype='object')","{'l1_ratio': 1, 'C': 10}",0.5432692307692308
outer_5_inner_1,"Index(['n_lesions', 'original_shape_Flatness',
       'original_gldm_SmallDependenceEmphasis',
       'original_glrlm_RunLengthNonUniformityNormalized',
       'original_glszm_ZonePercentage'],
      dtype='object')","{'l1_ratio': 1, 'C': 1}",0.69
outer_5_inner_2,"Index(['original_gldm_SmallDependenceEmphasis',
       'original_glrlm_RunLengthNonUniformityNormalized',
       'original_glszm_SizeZoneNonUniformityNormalized',
       'original_glszm_SmallAreaEmphasis', 'original_glszm_ZonePercentage'],
      dtype='object')","{'l1_ratio': 1, 'C': 1}",0.7366071428571428
outer_5_inner_3,"Index(['original_shape_Flatness', 'original_shape_LeastAxisLength',
       'original_shape_Maximum2DDiameterColumn',
       'original_shape_Maximum2DDiameterSlice',
       'original_shape_Maximum3DDiameter'],
      dtype='object')","{'l1_ratio': 0.3, 'C': 0.1}",0.6294642857142858
outer_5_inner_4,"Index(['original_shape_Flatness', 'original_gldm_SmallDependenceEmphasis',
       'original_glrlm_RunLengthNonUniformityNormalized',
       'original_glszm_SizeZoneNonUniformityNormalized',
       'original_glszm_ZonePercentage'],
      dtype='object')","{'l1_ratio': 0.5, 'C': 0.1}",0.889423076923077
outer_5_inner_5,"Index(['n_lesions', 'original_gldm_SmallDependenceEmphasis',
       'original_glszm_SizeZoneNonUniformityNormalized',
       'original_glszm_SmallAreaEmphasis', 'original_glszm_ZonePercentage'],
      dtype='object')","{'l1_ratio': 0.3, 'C': 1}",0.7745098039215685
