Fold,Features,Classifier_Params,AUC
outer_1_inner_1,"Index(['n_lesions', 'baseline_num_met_organs', 'original_shape_Flatness',
       'original_shape_SurfaceVolumeRatio',
       'original_gldm_DependenceNonUniformityNormalized',
       'original_gldm_SmallDependenceEmphasis',
       'original_glrlm_RunLengthNonUniformityNormalized',
       'original_glszm_SizeZoneNonUniformityNormalized',
       'original_glszm_ZoneEntropy'],
      dtype='object')","{'l1_ratio': 0.3, 'C': 0.1}",0.825
outer_1_inner_2,"Index(['n_lesions', 'baseline_num_met_organs', 'original_shape_Flatness',
       'original_shape_LeastAxisLength', 'original_shape_SurfaceVolumeRatio',
       'original_glrlm_ShortRunEmphasis',
       'original_glszm_SizeZoneNonUniformityNormalized',
       'original_glszm_ZoneEntropy'],
      dtype='object')","{'l1_ratio': 0.3, 'C': 1}",0.7050000000000001
outer_1_inner_3,"Index(['baseline_num_met_organs', 'original_shape_Flatness',
       'original_shape_SurfaceVolumeRatio',
       'original_gldm_SmallDependenceEmphasis',
       'original_glrlm_ShortRunEmphasis'],
      dtype='object')","{'l1_ratio': 0.3, 'C': 0.1}",0.7285067873303168
outer_1_inner_4,"Index(['n_lesions', 'original_shape_Flatness',
       'original_shape_Maximum2DDiameterColumn',
       'original_gldm_SmallDependenceEmphasis',
       'original_glrlm_ShortRunEmphasis',
       'original_glszm_SizeZoneNonUniformityNormalized',
       'original_glszm_SmallAreaEmphasis', 'original_glszm_ZoneEntropy'],
      dtype='object')","{'l1_ratio': 0.3, 'C': 0.1}",0.7238095238095238
outer_1_inner_5,"Index(['original_shape_Flatness', 'original_shape_Maximum2DDiameterSlice',
       'original_shape_SurfaceVolumeRatio',
       'original_glszm_SizeZoneNonUniformityNormalized',
       'original_glszm_SmallAreaLowGrayLevelEmphasis',
       'original_glszm_ZonePercentage'],
      dtype='object')","{'l1_ratio': 1, 'C': 1}",0.9117647058823528
outer_2_inner_1,"Index(['n_lesions', 'baseline_num_met_organs', 'original_shape_Flatness',
       'original_shape_Maximum2DDiameterSlice',
       'original_shape_SurfaceVolumeRatio', 'original_glrlm_ShortRunEmphasis',
       'original_glszm_SizeZoneNonUniformityNormalized'],
      dtype='object')","{'l1_ratio': 1, 'C': 1}",0.8711111111111112
outer_2_inner_2,"Index(['n_lesions', 'original_shape_Flatness',
       'original_shape_Maximum2DDiameterSlice',
       'original_shape_SurfaceVolumeRatio',
       'original_gldm_SmallDependenceEmphasis',
       'original_glrlm_ShortRunEmphasis',
       'original_glszm_SizeZoneNonUniformityNormalized',
       'original_glszm_ZoneEntropy'],
      dtype='object')","{'l1_ratio': 0.3, 'C': 0.1}",0.6561085972850679
outer_2_inner_3,"Index(['baseline_num_met_organs', 'original_shape_Flatness',
       'original_shape_SurfaceVolumeRatio',
       'original_gldm_SmallDependenceEmphasis',
       'original_glszm_SizeZoneNonUniformityNormalized',
       'original_glszm_SmallAreaLowGrayLevelEmphasis'],
      dtype='object')","{'l1_ratio': 0.3, 'C': 1}",0.8416289592760181
outer_2_inner_4,"Index(['n_lesions', 'original_shape_Flatness',
       'original_shape_SurfaceVolumeRatio', 'original_glrlm_RunPercentage',
       'original_glrlm_ShortRunEmphasis',
       'original_glszm_SmallAreaLowGrayLevelEmphasis',
       'original_glszm_ZoneEntropy'],
      dtype='object')","{'l1_ratio': 0.3, 'C': 1}",0.6201923076923077
outer_2_inner_5,"Index(['n_lesions', 'original_shape_Flatness',
       'original_shape_LeastAxisLength',
       'original_shape_Maximum2DDiameterColumn',
       'original_gldm_DependenceNonUniformityNormalized',
       'original_gldm_LargeDependenceEmphasis',
       'original_gldm_SmallDependenceEmphasis',
       'original_glrlm_RunLengthNonUniformityNormalized',
       'original_glszm_SizeZoneNonUniformityNormalized',
       'original_glszm_ZoneEntropy'],
      dtype='object')","{'l1_ratio': 0.3, 'C': 0.1}",0.6568627450980392
outer_3_inner_1,"Index(['n_lesions', 'baseline_num_met_organs', 'original_shape_Flatness',
       'original_shape_SurfaceVolumeRatio', 'original_glrlm_ShortRunEmphasis',
       'original_glszm_SizeZoneNonUniformityNormalized'],
      dtype='object')","{'l1_ratio': 0.3, 'C': 0.1}",0.8133971291866029
outer_3_inner_2,"Index(['n_lesions', 'original_shape_Flatness',
       'original_shape_Maximum2DDiameterSlice',
       'original_shape_SurfaceVolumeRatio',
       'original_glrlm_RunLengthNonUniformityNormalized',
       'original_glrlm_ShortRunEmphasis', 'original_glszm_ZoneEntropy'],
      dtype='object')","{'l1_ratio': 1, 'C': 1}",0.7601809954751131
outer_3_inner_3,"Index(['n_lesions', 'original_shape_Flatness',
       'original_shape_LeastAxisLength',
       'original_shape_Maximum2DDiameterColumn',
       'original_gldm_SmallDependenceEmphasis',
       'original_glszm_SizeZoneNonUniformityNormalized',
       'original_glszm_ZoneEntropy'],
      dtype='object')","{'l1_ratio': 0.5, 'C': 0.1}",0.7366071428571428
outer_3_inner_4,"Index(['n_lesions', 'baseline_num_met_organs', 'original_shape_Flatness',
       'original_shape_SurfaceVolumeRatio',
       'original_gldm_DependenceNonUniformityNormalized',
       'original_gldm_SmallDependenceEmphasis',
       'original_glrlm_ShortRunEmphasis'],
      dtype='object')","{'l1_ratio': 0.3, 'C': 0.1}",0.8269230769230769
outer_3_inner_5,"Index(['original_shape_Flatness', 'original_shape_LeastAxisLength',
       'original_shape_SurfaceVolumeRatio', 'original_glrlm_ShortRunEmphasis',
       'original_glszm_SmallAreaEmphasis', 'original_glszm_ZoneEntropy'],
      dtype='object')","{'l1_ratio': 0.5, 'C': 1}",0.680952380952381
outer_4_inner_1,"Index(['baseline_num_met_organs', 'original_shape_Flatness',
       'original_shape_SurfaceVolumeRatio', 'original_glrlm_ShortRunEmphasis',
       'original_glszm_SizeZoneNonUniformityNormalized',
       'original_glszm_ZonePercentage'],
      dtype='object')","{'l1_ratio': 0.3, 'C': 0.1}",0.7692307692307693
