Fold,Features,Classifier_Params,AUC
outer_1_inner_1,"['original_gldm_SmallDependenceEmphasis', 'original_glcm_Correlation', 'n_lesions', 'original_glszm_SizeZoneNonUniformityNormalized', 'baseline_num_met_organs']","{'l1_ratio': 0.3, 'C': 1}",0.8677248677248678
outer_1_inner_2,"['original_shape_Flatness', 'original_gldm_LargeDependenceHighGrayLevelEmphasis', 'original_gldm_SmallDependenceEmphasis', 'n_lesions', 'original_shape_SurfaceVolumeRatio']","{'l1_ratio': 0.5, 'C': 0.1}",0.7330316742081449
outer_1_inner_3,"['original_gldm_SmallDependenceEmphasis', 'original_gldm_DependenceEntropy', 'n_lesions', 'baseline_num_met_organs', 'original_glszm_ZonePercentage']","{'l1_ratio': 0.3, 'C': 10}",0.8472222222222222
outer_1_inner_4,"['original_glszm_ZonePercentage', 'original_glcm_Correlation', 'n_lesions', 'baseline_num_met_organs', 'original_gldm_SmallDependenceEmphasis']","{'l1_ratio': 0.3, 'C': 1}",0.6538461538461539
outer_1_inner_5,"['original_gldm_SmallDependenceEmphasis', 'original_shape_Sphericity', 'original_glszm_ZoneEntropy', 'original_glszm_SmallAreaEmphasis', 'original_glszm_ZonePercentage']","{'l1_ratio': 0.3, 'C': 0.1}",0.7163461538461539
outer_2_inner_1,"['original_shape_Flatness', 'original_glrlm_RunEntropy', 'original_glrlm_RunLengthNonUniformityNormalized', 'n_lesions', 'original_glszm_ZonePercentage']","{'l1_ratio': 1, 'C': 1}",0.75
outer_2_inner_2,"['original_gldm_SmallDependenceEmphasis', 'original_glszm_LowGrayLevelZoneEmphasis', 'baseline_num_met_organs', 'original_shape_Flatness', 'original_glszm_SizeZoneNonUniformityNormalized']","{'l1_ratio': 0.3, 'C': 0.1}",0.7647058823529411
outer_2_inner_3,"['original_gldm_SmallDependenceEmphasis', 'original_glrlm_LongRunHighGrayLevelEmphasis', 'original_shape_Sphericity', 'baseline_num_met_organs', 'original_glszm_ZonePercentage']","{'l1_ratio': 1, 'C': 0.1}",0.7589285714285714
outer_2_inner_4,"['original_glszm_ZonePercentage', 'original_gldm_DependenceEntropy', 'n_lesions', 'original_gldm_SmallDependenceEmphasis', 'baseline_num_met_organs']","{'l1_ratio': 0.3, 'C': 10}",0.7047619047619047
outer_2_inner_5,"['original_gldm_SmallDependenceEmphasis', 'n_lesions', 'original_glcm_Correlation', 'original_glszm_SmallAreaEmphasis', 'original_shape_Flatness']","{'l1_ratio': 0.3, 'C': 0.1}",0.7261904761904762
outer_3_inner_1,"['original_shape_Flatness', 'original_glrlm_LowGrayLevelRunEmphasis', 'original_glszm_ZonePercentage', 'baseline_num_met_organs', 'original_gldm_SmallDependenceEmphasis']","{'l1_ratio': 0.3, 'C': 1}",0.8253968253968255
outer_3_inner_2,"['original_gldm_SmallDependenceEmphasis', 'n_lesions', 'baseline_num_met_organs', 'original_shape_SurfaceVolumeRatio', 'original_glszm_SizeZoneNonUniformityNormalized']","{'l1_ratio': 0.3, 'C': 10}",0.7267080745341615
outer_3_inner_3,"['original_glszm_SizeZoneNonUniformityNormalized', 'original_glszm_ZoneEntropy', 'n_lesions', 'original_glszm_ZonePercentage', 'original_glszm_SmallAreaEmphasis']","{'l1_ratio': 0.3, 'C': 1}",0.5741626794258373
outer_3_inner_4,"['original_gldm_SmallDependenceEmphasis', 'baseline_num_met_organs', 'original_gldm_DependenceEntropy', 'original_shape_Flatness', 'original_glszm_ZonePercentage']","{'l1_ratio': 0.3, 'C': 10}",0.8125
