Fold,Features,Classifier_Params,AUC
outer_1_inner_1,"['original_gldm_SmallDependenceEmphasis', 'original_glcm_Correlation', 'n_lesions', 'original_glszm_SizeZoneNonUniformityNormalized', 'baseline_num_met_organs']","{'n_estimators': 50, 'max_depth': 20}",0.828042328042328
outer_1_inner_2,"['original_shape_Flatness', 'original_gldm_LargeDependenceHighGrayLevelEmphasis', 'original_gldm_SmallDependenceEmphasis', 'n_lesions', 'original_shape_SurfaceVolumeRatio']","{'n_estimators': 50, 'max_depth': 20}",0.665158371040724
outer_1_inner_3,"['original_gldm_SmallDependenceEmphasis', 'original_gldm_DependenceEntropy', 'n_lesions', 'baseline_num_met_organs', 'original_glszm_ZonePercentage']","{'n_estimators': 100, 'max_depth': 10}",0.8009259259259258
outer_1_inner_4,"['original_glszm_ZonePercentage', 'original_glcm_Correlation', 'n_lesions', 'baseline_num_met_organs', 'original_gldm_SmallDependenceEmphasis']","{'n_estimators': 200, 'max_depth': 10}",0.6346153846153847
outer_1_inner_5,"['original_gldm_SmallDependenceEmphasis', 'original_shape_Sphericity', 'original_glszm_ZoneEntropy', 'original_glszm_SmallAreaEmphasis', 'original_glszm_ZonePercentage']","{'n_estimators': 100, 'max_depth': 10}",0.7331730769230769
outer_2_inner_1,"['original_shape_Flatness', 'original_glrlm_RunEntropy', 'original_glrlm_RunLengthNonUniformityNormalized', 'n_lesions', 'original_glszm_ZonePercentage']","{'n_estimators': 100, 'max_depth': 20}",0.6316964285714285
outer_2_inner_2,"['original_gldm_SmallDependenceEmphasis', 'original_glszm_LowGrayLevelZoneEmphasis', 'baseline_num_met_organs', 'original_shape_Flatness', 'original_glszm_SizeZoneNonUniformityNormalized']","{'n_estimators': 200, 'max_depth': 10}",0.8371040723981901
outer_2_inner_3,"['original_gldm_SmallDependenceEmphasis', 'original_glrlm_LongRunHighGrayLevelEmphasis', 'original_shape_Sphericity', 'baseline_num_met_organs', 'original_glszm_ZonePercentage']","{'n_estimators': 50, 'max_depth': 10}",0.7924107142857143
outer_2_inner_4,"['original_glszm_ZonePercentage', 'original_gldm_DependenceEntropy', 'n_lesions', 'original_gldm_SmallDependenceEmphasis', 'baseline_num_met_organs']","{'n_estimators': 50, 'max_depth': 10}",0.6190476190476191
outer_2_inner_5,"['original_gldm_SmallDependenceEmphasis', 'n_lesions', 'original_glcm_Correlation', 'original_glszm_SmallAreaEmphasis', 'original_shape_Flatness']","{'n_estimators': 200, 'max_depth': 20}",0.7321428571428571
outer_3_inner_1,"['original_shape_Flatness', 'original_glrlm_LowGrayLevelRunEmphasis', 'original_glszm_ZonePercentage', 'baseline_num_met_organs', 'original_gldm_SmallDependenceEmphasis']","{'n_estimators': 200, 'max_depth': 10}",0.7486772486772486
outer_3_inner_2,"['original_gldm_SmallDependenceEmphasis', 'n_lesions', 'baseline_num_met_organs', 'original_shape_SurfaceVolumeRatio', 'original_glszm_SizeZoneNonUniformityNormalized']","{'n_estimators': 50, 'max_depth': 10}",0.748447204968944
outer_3_inner_3,"['original_glszm_SizeZoneNonUniformityNormalized', 'original_glszm_ZoneEntropy', 'n_lesions', 'original_glszm_ZonePercentage', 'original_glszm_SmallAreaEmphasis']","{'n_estimators': 50, 'max_depth': 10}",0.5430622009569378
outer_3_inner_4,"['original_gldm_SmallDependenceEmphasis', 'baseline_num_met_organs', 'original_gldm_DependenceEntropy', 'original_shape_Flatness', 'original_glszm_ZonePercentage']","{'n_estimators': 100, 'max_depth': 10}",0.7403846153846154
outer_3_inner_5,"['original_shape_Flatness', 'original_glszm_SizeZoneNonUniformity', 'original_gldm_SmallDependenceEmphasis', 'original_glcm_Correlation', 'n_lesions']","{'n_estimators': 50, 'max_depth': 10}",0.6843434343434344
outer_4_inner_1,"['original_glszm_ZonePercentage', 'original_glcm_Correlation', 'n_lesions', 'baseline_num_met_organs', 'original_glszm_SizeZoneNonUniformityNormalized']","{'n_estimators': 50, 'max_depth': 20}",0.6444444444444445
outer_4_inner_2,"['original_shape_Flatness', 'original_glcm_Correlation', 'original_glszm_SizeZoneNonUniformity', 'original_gldm_SmallDependenceEmphasis', 'baseline_num_met_organs']","{'n_estimators': 200, 'max_depth': 10}",0.7925000000000001
outer_4_inner_3,"['original_shape_Flatness', 'original_ngtdm_Complexity', 'original_gldm_DependenceNonUniformityNormalized', 'n_lesions', 'original_glszm_SizeZoneNonUniformityNormalized']","{'n_estimators': 100, 'max_depth': 10}",0.7254464285714286
outer_4_inner_4,"['original_glszm_SizeZoneNonUniformityNormalized', 'baseline_num_met_organs', 'original_shape_SurfaceVolumeRatio', 'n_lesions', 'original_glszm_ZonePercentage']","{'n_estimators': 100, 'max_depth': 20}",0.6388888888888888
outer_4_inner_5,"['original_gldm_SmallDependenceEmphasis', 'original_gldm_LowGrayLevelEmphasis', 'original_shape_Flatness', 'original_glrlm_RunLengthNonUniformityNormalized', 'baseline_num_met_organs']","{'n_estimators': 200, 'max_depth': 20}",0.6658653846153847
outer_5_inner_1,"['original_shape_Flatness', 'original_glcm_ClusterProminence', 'original_shape_SurfaceVolumeRatio', 'n_lesions', 'original_glszm_SizeZoneNonUniformityNormalized']","{'n_estimators': 100, 'max_depth': 10}",0.5900000000000001
