Fold,Features,Classifier_Params,AUC
outer_1_inner_1,"Index(['n_lesions', 'original_shape_Flatness',
       'original_shape_LeastAxisLength',
       'original_gldm_SmallDependenceEmphasis',
       'original_glszm_SizeZoneNonUniformityNormalized'],
      dtype='object')","{'subsample': 1.0, 'n_estimators': 50, 'max_depth': 3, 'learning_rate': 0.1}",0.765
outer_1_inner_2,"Index(['original_shape_LeastAxisLength',
       'original_shape_Maximum2DDiameterColumn',
       'original_shape_Maximum2DDiameterSlice',
       'original_shape_Maximum3DDiameter', 'original_shape_MinorAxisLength'],
      dtype='object')","{'subsample': 0.8, 'n_estimators': 50, 'max_depth': 5, 'learning_rate': 0.2}",0.675
outer_1_inner_3,"Index(['original_shape_Flatness', 'original_gldm_LargeDependenceEmphasis',
       'original_glrlm_RunLengthNonUniformityNormalized',
       'original_glrlm_RunPercentage', 'original_glrlm_ShortRunEmphasis'],
      dtype='object')","{'subsample': 0.8, 'n_estimators': 50, 'max_depth': 5, 'learning_rate': 0.1}",0.7262443438914026
outer_1_inner_4,"Index(['original_shape_Flatness', 'original_shape_LeastAxisLength',
       'original_shape_Maximum2DDiameterColumn',
       'original_shape_Maximum3DDiameter', 'original_glrlm_ShortRunEmphasis'],
      dtype='object')","{'subsample': 0.8, 'n_estimators': 50, 'max_depth': 5, 'learning_rate': 0.1}",0.6571428571428571
outer_1_inner_5,"Index(['original_shape_Flatness', 'original_shape_LeastAxisLength',
       'original_shape_Maximum2DDiameterColumn',
       'original_shape_Maximum2DDiameterSlice',
       'original_shape_Maximum3DDiameter'],
      dtype='object')","{'subsample': 0.8, 'n_estimators': 50, 'max_depth': 3, 'learning_rate': 0.1}",0.8137254901960784
outer_2_inner_1,"Index(['original_shape_Flatness', 'original_shape_LeastAxisLength',
       'original_shape_Maximum2DDiameterColumn',
       'original_shape_Maximum2DDiameterSlice',
       'original_shape_MinorAxisLength'],
      dtype='object')","{'subsample': 1.0, 'n_estimators': 50, 'max_depth': 3, 'learning_rate': 0.1}",0.78
outer_2_inner_2,"Index(['original_gldm_SmallDependenceEmphasis',
       'original_glrlm_RunLengthNonUniformityNormalized',
       'original_glrlm_ShortRunEmphasis',
       'original_glszm_SizeZoneNonUniformityNormalized',
       'original_glszm_SmallAreaEmphasis'],
      dtype='object')","{'subsample': 1.0, 'n_estimators': 50, 'max_depth': 3, 'learning_rate': 0.2}",0.5746606334841629
outer_2_inner_3,"Index(['original_shape_Flatness', 'original_shape_LeastAxisLength',
       'original_shape_Maximum2DDiameterColumn',
       'original_shape_Maximum3DDiameter', 'original_shape_MinorAxisLength'],
      dtype='object')","{'subsample': 0.8, 'n_estimators': 50, 'max_depth': 3, 'learning_rate': 0.1}",0.7285067873303168
outer_2_inner_4,"Index(['original_shape_Flatness', 'original_shape_LeastAxisLength',
       'original_shape_Maximum2DDiameterColumn',
       'original_shape_Maximum3DDiameter', 'original_shape_MinorAxisLength'],
      dtype='object')","{'subsample': 0.8, 'n_estimators': 75, 'max_depth': 5, 'learning_rate': 0.2}",0.6682692307692308
outer_2_inner_5,"Index(['original_shape_LeastAxisLength',
       'original_gldm_LargeDependenceEmphasis',
       'original_glrlm_RunLengthNonUniformityNormalized',
       'original_glrlm_RunPercentage', 'original_glrlm_ShortRunEmphasis'],
      dtype='object')","{'subsample': 0.8, 'n_estimators': 50, 'max_depth': 3, 'learning_rate': 0.1}",0.6470588235294117
outer_3_inner_1,"Index(['original_shape_LeastAxisLength',
       'original_gldm_SmallDependenceEmphasis',
       'original_glszm_SizeZoneNonUniformityNormalized',
       'original_glszm_SmallAreaEmphasis', 'original_glszm_ZonePercentage'],
      dtype='object')","{'subsample': 1.0, 'n_estimators': 50, 'max_depth': 3, 'learning_rate': 0.1}",0.6507177033492824
outer_3_inner_2,"Index(['original_shape_Flatness', 'original_shape_LeastAxisLength',
       'original_shape_Maximum2DDiameterColumn',
       'original_glrlm_RunPercentage', 'original_glrlm_ShortRunEmphasis'],
      dtype='object')","{'subsample': 0.8, 'n_estimators': 50, 'max_depth': 3, 'learning_rate': 0.1}",0.7420814479638009
outer_3_inner_3,"Index(['original_shape_LeastAxisLength',
       'original_gldm_SmallDependenceEmphasis',
       'original_glszm_SizeZoneNonUniformityNormalized',
       'original_glszm_SmallAreaEmphasis', 'original_glszm_ZonePercentage'],
      dtype='object')","{'subsample': 0.8, 'n_estimators': 50, 'max_depth': 3, 'learning_rate': 0.2}",0.7388392857142858
outer_3_inner_4,"Index(['n_lesions', 'original_shape_Flatness',
       'original_shape_LeastAxisLength',
       'original_shape_Maximum2DDiameterColumn',
       'original_shape_Maximum3DDiameter'],
      dtype='object')","{'subsample': 1.0, 'n_estimators': 50, 'max_depth': 3, 'learning_rate': 0.1}",0.7091346153846154
outer_3_inner_5,"Index(['original_shape_Flatness', 'original_shape_LeastAxisLength',
       'original_shape_Maximum2DDiameterColumn',
       'original_shape_Maximum2DDiameterSlice',
       'original_shape_Maximum3DDiameter'],
      dtype='object')","{'subsample': 0.8, 'n_estimators': 50, 'max_depth': 3, 'learning_rate': 0.1}",0.5357142857142857
outer_4_inner_1,"Index(['original_shape_LeastAxisLength',
       'original_gldm_SmallDependenceEmphasis',
       'original_glrlm_RunLengthNonUniformityNormalized',
       'original_glrlm_ShortRunEmphasis', 'original_glszm_ZonePercentage'],
      dtype='object')","{'subsample': 1.0, 'n_estimators': 75, 'max_depth': 3, 'learning_rate': 0.1}",0.7647058823529412
outer_4_inner_2,"Index(['original_shape_Flatness', 'original_shape_LeastAxisLength',
       'original_shape_Maximum2DDiameterColumn',
       'original_shape_Maximum2DDiameterSlice',
       'original_shape_Maximum3DDiameter'],
      dtype='object')","{'subsample': 1.0, 'n_estimators': 50, 'max_depth': 3, 'learning_rate': 0.1}",0.6977777777777778
outer_4_inner_3,"Index(['original_shape_Flatness', 'original_shape_LeastAxisLength',
       'original_glrlm_RunLengthNonUniformityNormalized',
       'original_glrlm_ShortRunEmphasis', 'original_glszm_SmallAreaEmphasis'],
      dtype='object')","{'subsample': 0.8, 'n_estimators': 50, 'max_depth': 3, 'learning_rate': 0.1}",0.6100478468899522
outer_4_inner_4,"Index(['original_shape_Flatness', 'original_shape_LeastAxisLength',
       'original_shape_Maximum2DDiameterColumn',
       'original_shape_Maximum2DDiameterSlice',
       'original_shape_MinorAxisLength'],
      dtype='object')","{'subsample': 0.8, 'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1}",0.7450980392156863
outer_4_inner_5,"Index(['original_shape_Flatness', 'original_shape_LeastAxisLength',
       'original_shape_Maximum2DDiameterColumn',
       'original_glrlm_RunLengthNonUniformityNormalized',
       'original_glrlm_ShortRunEmphasis'],
      dtype='object')","{'subsample': 0.8, 'n_estimators': 50, 'max_depth': 3, 'learning_rate': 0.1}",0.7020202020202021
outer_5_inner_1,"Index(['original_shape_Flatness', 'original_shape_LeastAxisLength',
       'original_shape_Maximum2DDiameterColumn',
       'original_glrlm_RunLengthNonUniformityNormalized',
       'original_glrlm_ShortRunEmphasis'],
      dtype='object')","{'subsample': 0.8, 'n_estimators': 50, 'max_depth': 3, 'learning_rate': 0.1}",0.7488888888888889
outer_5_inner_2,"Index(['original_shape_LeastAxisLength',
       'original_shape_Maximum2DDiameterColumn',
       'original_shape_Maximum2DDiameterSlice',
       'original_shape_Maximum3DDiameter', 'original_glrlm_ShortRunEmphasis'],
      dtype='object')","{'subsample': 1.0, 'n_estimators': 75, 'max_depth': 3, 'learning_rate': 0.1}",0.6583710407239819
outer_5_inner_3,"Index(['original_shape_Flatness', 'original_shape_LeastAxisLength',
       'original_gldm_SmallDependenceEmphasis',
       'original_glrlm_ShortRunEmphasis', 'original_glszm_ZonePercentage'],
      dtype='object')","{'subsample': 1.0, 'n_estimators': 50, 'max_depth': 3, 'learning_rate': 0.1}",0.6904761904761905
outer_5_inner_4,"Index(['n_lesions', 'original_shape_Flatness',
       'original_shape_LeastAxisLength',
       'original_shape_Maximum2DDiameterColumn',
       'original_glrlm_ShortRunEmphasis'],
      dtype='object')","{'subsample': 0.8, 'n_estimators': 75, 'max_depth': 3, 'learning_rate': 0.2}",0.7307692307692307
outer_5_inner_5,"Index(['original_shape_Flatness', 'original_shape_LeastAxisLength',
       'original_shape_Maximum2DDiameterColumn',
       'original_shape_Maximum2DDiameterSlice',
       'original_shape_MinorAxisLength'],
      dtype='object')","{'subsample': 1.0, 'n_estimators': 50, 'max_depth': 5, 'learning_rate': 0.1}",0.6826923076923077
