Fold,Features,Classifier_Params,AUC
outer_1_inner_1,"['original_shape_Flatness', 'original_firstorder_RootMeanSquared', 'original_glszm_SizeZoneNonUniformityNormalized', 'original_glszm_ZoneEntropy', 'n_lesions']","{'subsample': 1.0, 'n_estimators': 50, 'max_depth': 5, 'learning_rate': 0.1}",0.71
outer_1_inner_2,"['original_shape_LeastAxisLength', 'original_glcm_Correlation', 'original_glszm_SizeZoneNonUniformityNormalized', 'original_shape_SurfaceVolumeRatio', 'original_shape_Flatness']","{'subsample': 0.8, 'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1}",0.61
outer_1_inner_3,"['original_glrlm_ShortRunEmphasis', 'original_ngtdm_Coarseness', 'original_shape_Flatness', 'baseline_num_met_organs', 'original_glrlm_RunLengthNonUniformityNormalized']","{'subsample': 1.0, 'n_estimators': 50, 'max_depth': 3, 'learning_rate': 0.1}",0.7601809954751131
outer_1_inner_4,"['original_shape_Flatness', 'original_glcm_Idn', 'original_glszm_SizeZoneNonUniformityNormalized', 'original_shape_Maximum2DDiameterColumn', 'original_gldm_SmallDependenceEmphasis']","{'subsample': 1.0, 'n_estimators': 50, 'max_depth': 3, 'learning_rate': 0.2}",0.6476190476190476
outer_1_inner_5,"['original_shape_Flatness', 'original_gldm_DependenceEntropy', 'original_gldm_SmallDependenceEmphasis', 'original_shape_Maximum2DDiameterSlice', 'n_lesions']","{'subsample': 0.8, 'n_estimators': 50, 'max_depth': 3, 'learning_rate': 0.1}",0.9558823529411764
outer_2_inner_1,"['original_shape_Flatness', 'original_firstorder_RootMeanSquared', 'original_firstorder_Skewness', 'original_gldm_LargeDependenceEmphasis', 'baseline_num_met_organs']","{'subsample': 1.0, 'n_estimators': 50, 'max_depth': 3, 'learning_rate': 0.2}",0.6311111111111112
outer_2_inner_2,"['original_glrlm_ShortRunEmphasis', 'original_ngtdm_Coarseness', 'n_lesions', 'original_glszm_SizeZoneNonUniformityNormalized', 'original_shape_Flatness']","{'subsample': 1.0, 'n_estimators': 50, 'max_depth': 3, 'learning_rate': 0.1}",0.6877828054298643
outer_2_inner_3,"['original_shape_Flatness', 'original_glrlm_ShortRunLowGrayLevelEmphasis', 'original_glrlm_ShortRunEmphasis', 'baseline_num_met_organs', 'original_gldm_SmallDependenceEmphasis']","{'subsample': 0.8, 'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.1}",0.7918552036199096
outer_2_inner_4,"['original_shape_LeastAxisLength', 'original_gldm_DependenceEntropy', 'original_gldm_LargeDependenceEmphasis', 'n_lesions', 'original_shape_Flatness']","{'subsample': 1.0, 'n_estimators': 50, 'max_depth': 3, 'learning_rate': 0.1}",0.596153846153846
outer_2_inner_5,"['original_glrlm_ShortRunEmphasis', 'original_ngtdm_Coarseness', 'n_lesions', 'original_glszm_SizeZoneNonUniformityNormalized', 'original_shape_Flatness']","{'subsample': 1.0, 'n_estimators': 50, 'max_depth': 3, 'learning_rate': 0.1}",0.7009803921568627
outer_3_inner_1,"['original_glszm_SizeZoneNonUniformityNormalized', 'original_glcm_Idmn', 'original_shape_Flatness', 'baseline_num_met_organs', 'n_lesions']","{'subsample': 1.0, 'n_estimators': 50, 'max_depth': 3, 'learning_rate': 0.1}",0.7416267942583732
outer_3_inner_2,"['original_shape_LeastAxisLength', 'original_gldm_DependenceEntropy', 'original_gldm_LargeDependenceEmphasis', 'original_shape_Flatness', 'original_glrlm_RunPercentage']","{'subsample': 0.8, 'n_estimators': 50, 'max_depth': 5, 'learning_rate': 0.1}",0.7149321266968326
outer_3_inner_3,"['original_gldm_SmallDependenceEmphasis', 'n_lesions', 'original_glszm_SizeZoneNonUniformityNormalized', 'original_shape_Flatness', 'original_gldm_SmallDependenceLowGrayLevelEmphasis']","{'subsample': 0.8, 'n_estimators': 75, 'max_depth': 3, 'learning_rate': 0.1}",0.7455357142857143
outer_3_inner_4,"['original_shape_Flatness', 'original_gldm_DependenceEntropy', 'original_gldm_SmallDependenceEmphasis', 'n_lesions', 'baseline_num_met_organs']","{'subsample': 0.8, 'n_estimators': 50, 'max_depth': 3, 'learning_rate': 0.1}",0.7788461538461539
outer_3_inner_5,"['original_shape_Flatness', 'original_glrlm_ShortRunLowGrayLevelEmphasis', 'original_glrlm_ShortRunEmphasis', 'original_shape_LeastAxisLength', 'original_glrlm_RunLengthNonUniformityNormalized']","{'subsample': 0.8, 'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.2}",0.557142857142857
outer_4_inner_1,"['original_glrlm_ShortRunEmphasis', 'original_glszm_LowGrayLevelZoneEmphasis', 'original_shape_Flatness', 'baseline_num_met_organs', 'original_glszm_ZonePercentage']","{'subsample': 1.0, 'n_estimators': 50, 'max_depth': 3, 'learning_rate': 0.1}",0.6493212669683259
outer_4_inner_2,"['original_shape_LeastAxisLength', 'original_firstorder_Range', 'original_gldm_DependenceNonUniformityNormalized', 'original_shape_Flatness', 'original_shape_Maximum2DDiameterColumn']","{'subsample': 0.8, 'n_estimators': 50, 'max_depth': 3, 'learning_rate': 0.1}",0.6799999999999999
outer_4_inner_3,"['original_shape_Flatness', 'original_glcm_Correlation', 'original_glszm_SmallAreaEmphasis', 'original_glrlm_RunLengthNonUniformityNormalized', 'original_shape_Maximum2DDiameterColumn']","{'subsample': 1.0, 'n_estimators': 50, 'max_depth': 3, 'learning_rate': 0.1}",0.5741626794258373
outer_4_inner_4,"['original_shape_Flatness', 'original_glcm_Correlation', 'original_glszm_ZonePercentage', 'n_lesions', 'original_shape_LeastAxisLength']","{'subsample': 0.8, 'n_estimators': 75, 'max_depth': 3, 'learning_rate': 0.1}",0.803921568627451
outer_4_inner_5,"['original_shape_Flatness', 'original_glrlm_RunEntropy', 'original_glszm_ZonePercentage', 'n_lesions', 'original_glrlm_ShortRunEmphasis']","{'subsample': 0.8, 'n_estimators': 50, 'max_depth': 3, 'learning_rate': 0.1}",0.6262626262626262
outer_5_inner_1,"['original_glrlm_ShortRunEmphasis', 'original_glrlm_ShortRunLowGrayLevelEmphasis', 'n_lesions', 'original_shape_Flatness', 'original_gldm_SmallDependenceEmphasis']","{'subsample': 0.8, 'n_estimators': 50, 'max_depth': 3, 'learning_rate': 0.2}",0.8266666666666667
outer_5_inner_2,"['original_shape_LeastAxisLength', 'original_glrlm_LowGrayLevelRunEmphasis', 'original_gldm_LargeDependenceEmphasis', 'original_shape_Maximum2DDiameterColumn', 'original_glrlm_ShortRunEmphasis']","{'subsample': 1.0, 'n_estimators': 50, 'max_depth': 3, 'learning_rate': 0.1}",0.7126696832579186
outer_5_inner_3,"['original_shape_Flatness', 'original_firstorder_RootMeanSquared', 'original_glszm_SizeZoneNonUniformityNormalized', 'original_gldm_SmallDependenceLowGrayLevelEmphasis', 'n_lesions']","{'subsample': 0.8, 'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1}",0.6243386243386243
outer_5_inner_4,"['n_lesions', 'original_shape_SurfaceVolumeRatio', 'original_glrlm_ShortRunEmphasis', 'baseline_num_met_organs', 'original_shape_Flatness']","{'subsample': 0.8, 'n_estimators': 50, 'max_depth': 3, 'learning_rate': 0.1}",0.7596153846153846
