Fold,Features,Classifier_Params,AUC
outer_1_inner_1,"['original_shape_SurfaceVolumeRatio', 'original_glcm_JointAverage', 'baseline_num_met_organs', 'original_gldm_LargeDependenceEmphasis', 'n_lesions']","{'l1_ratio': 0.3, 'C': 1}",0.8518518518518519
outer_1_inner_2,"['original_shape_SurfaceVolumeRatio', 'original_firstorder_Skewness', 'n_lesions', 'original_shape_Flatness', 'original_glszm_SmallAreaEmphasis']","{'l1_ratio': 0.3, 'C': 1}",0.5927601809954751
outer_1_inner_3,"['original_shape_SurfaceVolumeRatio', 'original_glcm_JointAverage', 'baseline_num_met_organs', 'original_gldm_LargeDependenceEmphasis', 'original_ngtdm_Coarseness']","{'l1_ratio': 1, 'C': 10}",0.6018518518518519
outer_1_inner_4,"['original_shape_SurfaceVolumeRatio', 'original_glrlm_HighGrayLevelRunEmphasis', 'baseline_num_met_organs', 'n_lesions', 'original_glrlm_RunLengthNonUniformityNormalized']","{'l1_ratio': 0.3, 'C': 0.1}",0.6346153846153846
outer_1_inner_5,"['original_gldm_SmallDependenceEmphasis', 'original_glszm_ZoneEntropy', 'n_lesions', 'original_glszm_ZonePercentage', 'original_glszm_SmallAreaEmphasis']","{'l1_ratio': 1, 'C': 1}",0.7115384615384616
outer_2_inner_1,"['original_shape_SurfaceVolumeRatio', 'original_gldm_LowGrayLevelEmphasis', 'n_lesions', 'original_gldm_LargeDependenceEmphasis', 'original_shape_Flatness']","{'l1_ratio': 0.3, 'C': 0.1}",0.6473214285714286
outer_2_inner_2,"['original_shape_SurfaceVolumeRatio', 'original_glrlm_HighGrayLevelRunEmphasis', 'n_lesions', 'baseline_num_met_organs', 'original_glszm_SizeZoneNonUniformityNormalized']","{'l1_ratio': 0.3, 'C': 1}",0.7918552036199096
outer_2_inner_3,"['original_shape_SurfaceVolumeRatio', 'original_glszm_GrayLevelNonUniformityNormalized', 'baseline_num_met_organs', 'original_gldm_LargeDependenceEmphasis', 'n_lesions']","{'l1_ratio': 0.3, 'C': 1}",0.7633928571428572
outer_2_inner_4,"['original_shape_SurfaceVolumeRatio', 'original_glcm_JointAverage', 'n_lesions', 'original_ngtdm_Coarseness', 'original_glszm_SizeZoneNonUniformityNormalized']","{'l1_ratio': 1, 'C': 10}",0.8142857142857142
outer_2_inner_5,"['original_shape_SurfaceVolumeRatio', 'original_glcm_JointAverage', 'n_lesions', 'original_gldm_LargeDependenceEmphasis', 'baseline_num_met_organs']","{'l1_ratio': 0.5, 'C': 0.1}",0.6904761904761905
outer_3_inner_1,"['original_shape_SurfaceVolumeRatio', 'original_glcm_JointAverage', 'baseline_num_met_organs', 'original_ngtdm_Coarseness', 'original_shape_Flatness']","{'l1_ratio': 0.3, 'C': 1}",0.7407407407407407
outer_3_inner_2,"['original_shape_SurfaceVolumeRatio', 'original_glszm_SmallAreaHighGrayLevelEmphasis', 'n_lesions', 'baseline_num_met_organs', 'original_gldm_DependenceNonUniformityNormalized']","{'l1_ratio': 0.3, 'C': 10}",0.7329192546583851
outer_3_inner_3,"['original_shape_SurfaceVolumeRatio', 'original_glcm_SumAverage', 'n_lesions', 'original_glrlm_ShortRunEmphasis', 'original_glszm_SizeZoneNonUniformityNormalized']","{'l1_ratio': 0.3, 'C': 10}",0.5741626794258373
outer_3_inner_4,"['original_shape_SurfaceVolumeRatio', 'original_firstorder_RootMeanSquared', 'baseline_num_met_organs', 'original_gldm_LargeDependenceEmphasis', 'n_lesions']","{'l1_ratio': 0.3, 'C': 0.1}",0.7788461538461539
outer_3_inner_5,"['original_shape_SurfaceVolumeRatio', 'original_glszm_SmallAreaEmphasis', 'n_lesions', 'original_ngtdm_Coarseness', 'original_firstorder_RootMeanSquared']","{'l1_ratio': 0.3, 'C': 10}",0.7424242424242424
outer_4_inner_1,"['original_shape_SurfaceVolumeRatio', 'original_glszm_HighGrayLevelZoneEmphasis', 'baseline_num_met_organs', 'original_shape_Flatness', 'original_ngtdm_Coarseness']","{'l1_ratio': 1, 'C': 10}",0.5333333333333333
outer_4_inner_2,"['original_shape_SurfaceVolumeRatio', 'original_glcm_JointAverage', 'n_lesions', 'original_gldm_LargeDependenceEmphasis', 'baseline_num_met_organs']","{'l1_ratio': 0.5, 'C': 1}",0.7
outer_4_inner_3,"['original_shape_SurfaceVolumeRatio', 'original_glszm_GrayLevelNonUniformityNormalized', 'n_lesions', 'original_gldm_LargeDependenceEmphasis', 'original_glszm_SmallAreaEmphasis']","{'l1_ratio': 1, 'C': 1}",0.7455357142857142
outer_4_inner_4,"['original_shape_SurfaceVolumeRatio', 'original_glcm_SumAverage', 'n_lesions', 'baseline_num_met_organs', 'original_glszm_SizeZoneNonUniformityNormalized']","{'l1_ratio': 1, 'C': 10}",0.7828282828282829
