Fold,Features,Classifier_Params,AUC
outer_1_inner_1,"Index(['n_lesions', 'original_shape_SurfaceVolumeRatio',
       'original_gldm_DependenceNonUniformityNormalized',
       'original_glszm_SmallAreaEmphasis'],
      dtype='object')","{'n_estimators': 100, 'max_depth': 10}",0.6878306878306879
outer_1_inner_2,"Index(['n_lesions', 'original_shape_Flatness',
       'original_shape_SurfaceVolumeRatio',
       'original_glszm_SmallAreaEmphasis'],
      dtype='object')","{'n_estimators': 200, 'max_depth': 10}",0.6742081447963801
outer_1_inner_3,"Index(['baseline_num_met_organs', 'original_shape_SurfaceVolumeRatio',
       'original_glrlm_ShortRunEmphasis',
       'original_glszm_SizeZoneNonUniformityNormalized'],
      dtype='object')","{'n_estimators': 200, 'max_depth': 20}",0.7083333333333334
outer_1_inner_4,"Index(['n_lesions', 'baseline_num_met_organs',
       'original_shape_SurfaceVolumeRatio',
       'original_gldm_SmallDependenceEmphasis',
       'original_glszm_SizeZoneNonUniformityNormalized'],
      dtype='object')","{'n_estimators': 200, 'max_depth': 10}",0.7403846153846154
outer_1_inner_5,"Index(['n_lesions', 'original_shape_SurfaceVolumeRatio',
       'original_gldm_LargeDependenceEmphasis',
       'original_glszm_SizeZoneNonUniformityNormalized',
       'original_glszm_SmallAreaEmphasis'],
      dtype='object')","{'n_estimators': 50, 'max_depth': 10}",0.5913461538461539
outer_2_inner_1,"Index(['n_lesions', 'baseline_num_met_organs', 'original_shape_Flatness',
       'original_shape_SurfaceVolumeRatio',
       'original_gldm_LargeDependenceEmphasis',
       'original_glszm_SmallAreaEmphasis'],
      dtype='object')","{'n_estimators': 200, 'max_depth': 10}",0.5982142857142857
outer_2_inner_2,"Index(['n_lesions', 'baseline_num_met_organs',
       'original_shape_SurfaceVolumeRatio',
       'original_glszm_SizeZoneNonUniformityNormalized'],
      dtype='object')","{'n_estimators': 200, 'max_depth': 20}",0.7737556561085973
outer_2_inner_3,"Index(['n_lesions', 'baseline_num_met_organs',
       'original_shape_SurfaceVolumeRatio',
       'original_glszm_SizeZoneNonUniformityNormalized'],
      dtype='object')","{'n_estimators': 100, 'max_depth': 20}",0.7857142857142857
outer_2_inner_4,"Index(['n_lesions', 'original_shape_SurfaceVolumeRatio',
       'original_gldm_SmallDependenceEmphasis',
       'original_glszm_SizeZoneNonUniformityNormalized',
       'original_glszm_SmallAreaEmphasis'],
      dtype='object')","{'n_estimators': 200, 'max_depth': 10}",0.7428571428571429
outer_2_inner_5,"Index(['n_lesions', 'baseline_num_met_organs',
       'original_shape_SurfaceVolumeRatio', 'original_glrlm_ShortRunEmphasis',
       'original_glszm_SmallAreaEmphasis'],
      dtype='object')","{'n_estimators': 200, 'max_depth': 20}",0.7083333333333333
outer_3_inner_1,"Index(['n_lesions', 'baseline_num_met_organs', 'original_shape_Flatness',
       'original_shape_SurfaceVolumeRatio',
       'original_glszm_SmallAreaEmphasis'],
      dtype='object')","{'n_estimators': 50, 'max_depth': 20}",0.7936507936507937
outer_3_inner_2,"Index(['n_lesions', 'baseline_num_met_organs',
       'original_shape_SurfaceVolumeRatio',
       'original_gldm_SmallDependenceEmphasis',
       'original_glszm_SmallAreaEmphasis'],
      dtype='object')","{'n_estimators': 100, 'max_depth': 10}",0.7888198757763975
outer_3_inner_3,"Index(['n_lesions', 'original_shape_SurfaceVolumeRatio',
       'original_glrlm_ShortRunEmphasis',
       'original_glszm_SizeZoneNonUniformityNormalized'],
      dtype='object')","{'n_estimators': 100, 'max_depth': 20}",0.5382775119617225
outer_3_inner_4,"Index(['n_lesions', 'baseline_num_met_organs',
       'original_shape_SurfaceVolumeRatio',
       'original_gldm_SmallDependenceEmphasis',
       'original_glszm_SmallAreaEmphasis'],
      dtype='object')","{'n_estimators': 100, 'max_depth': 20}",0.8485576923076924
outer_3_inner_5,"Index(['n_lesions', 'baseline_num_met_organs',
       'original_shape_SurfaceVolumeRatio', 'original_glszm_SmallAreaEmphasis',
       'original_glszm_ZoneEntropy'],
      dtype='object')","{'n_estimators': 200, 'max_depth': 10}",0.6666666666666667
outer_4_inner_1,"Index(['n_lesions', 'baseline_num_met_organs', 'original_shape_Flatness',
       'original_shape_SurfaceVolumeRatio',
       'original_gldm_DependenceNonUniformityNormalized',
       'original_glszm_SmallAreaEmphasis'],
      dtype='object')","{'n_estimators': 200, 'max_depth': 10}",0.5333333333333333
outer_4_inner_2,"Index(['n_lesions', 'baseline_num_met_organs',
       'original_shape_SurfaceVolumeRatio',
       'original_gldm_DependenceNonUniformityNormalized',
       'original_gldm_LargeDependenceEmphasis',
       'original_glszm_SizeZoneNonUniformityNormalized'],
      dtype='object')","{'n_estimators': 200, 'max_depth': 20}",0.76
outer_4_inner_3,"Index(['n_lesions', 'original_shape_SurfaceVolumeRatio',
       'original_glrlm_ShortRunEmphasis',
       'original_glszm_SizeZoneNonUniformityNormalized',
       'original_glszm_ZoneEntropy'],
      dtype='object')","{'n_estimators': 100, 'max_depth': 20}",0.765625
outer_4_inner_4,"Index(['n_lesions', 'baseline_num_met_organs',
       'original_shape_SurfaceVolumeRatio',
       'original_glszm_SizeZoneNonUniformityNormalized'],
      dtype='object')","{'n_estimators': 50, 'max_depth': 20}",0.7171717171717171
outer_4_inner_5,"Index(['n_lesions', 'baseline_num_met_organs',
       'original_shape_SurfaceVolumeRatio',
       'original_gldm_SmallDependenceEmphasis',
       'original_glrlm_ShortRunEmphasis', 'original_glszm_SmallAreaEmphasis'],
      dtype='object')","{'n_estimators': 50, 'max_depth': 10}",0.5769230769230769
outer_5_inner_1,"Index(['n_lesions', 'baseline_num_met_organs',
       'original_shape_SurfaceVolumeRatio', 'original_firstorder_90Percentile',
       'original_glrlm_ShortRunEmphasis', 'original_glszm_SmallAreaEmphasis'],
      dtype='object')","{'n_estimators': 50, 'max_depth': 20}",0.575
outer_5_inner_2,"Index(['n_lesions', 'baseline_num_met_organs',
       'original_shape_SurfaceVolumeRatio',
       'original_gldm_DependenceNonUniformityNormalized',
       'original_glszm_SizeZoneNonUniformityNormalized'],
      dtype='object')","{'n_estimators': 200, 'max_depth': 10}",0.7142857142857143
outer_5_inner_3,"Index(['n_lesions', 'original_shape_SurfaceVolumeRatio',
       'original_glszm_SizeZoneNonUniformityNormalized'],
      dtype='object')","{'n_estimators': 50, 'max_depth': 20}",0.765625
outer_5_inner_4,"Index(['baseline_num_met_organs', 'original_shape_SurfaceVolumeRatio',
       'original_glszm_SmallAreaEmphasis'],
      dtype='object')","{'n_estimators': 100, 'max_depth': 10}",0.766826923076923
outer_5_inner_5,"Index(['n_lesions', 'original_shape_SurfaceVolumeRatio',
       'original_gldm_SmallDependenceEmphasis',
       'original_glszm_SizeZoneNonUniformityNormalized',
       'original_glszm_SmallAreaEmphasis'],
      dtype='object')","{'n_estimators': 50, 'max_depth': 10}",0.7352941176470589
