Fold,Features,Classifier_Params,AUC
outer_1_inner_1,"['original_shape_SurfaceVolumeRatio', 'original_glcm_JointAverage', 'baseline_num_met_organs', 'original_gldm_LargeDependenceEmphasis', 'n_lesions']","{'n_estimators': 200, 'max_depth': 10}",0.7619047619047619
outer_1_inner_2,"['original_shape_SurfaceVolumeRatio', 'original_firstorder_Skewness', 'n_lesions', 'original_shape_Flatness', 'original_glszm_SmallAreaEmphasis']","{'n_estimators': 50, 'max_depth': 20}",0.6312217194570136
outer_1_inner_3,"['original_shape_SurfaceVolumeRatio', 'original_glcm_JointAverage', 'baseline_num_met_organs', 'original_gldm_LargeDependenceEmphasis', 'original_ngtdm_Coarseness']","{'n_estimators': 50, 'max_depth': 20}",0.5578703703703705
outer_1_inner_4,"['original_shape_SurfaceVolumeRatio', 'original_glrlm_HighGrayLevelRunEmphasis', 'baseline_num_met_organs', 'n_lesions', 'original_glrlm_RunLengthNonUniformityNormalized']","{'n_estimators': 200, 'max_depth': 20}",0.6682692307692307
outer_1_inner_5,"['original_gldm_SmallDependenceEmphasis', 'original_glszm_ZoneEntropy', 'n_lesions', 'original_glszm_ZonePercentage', 'original_glszm_SmallAreaEmphasis']","{'n_estimators': 200, 'max_depth': 20}",0.7283653846153846
outer_2_inner_1,"['original_shape_SurfaceVolumeRatio', 'original_gldm_LowGrayLevelEmphasis', 'n_lesions', 'original_gldm_LargeDependenceEmphasis', 'original_shape_Flatness']","{'n_estimators': 100, 'max_depth': 10}",0.6316964285714285
outer_2_inner_2,"['original_shape_SurfaceVolumeRatio', 'original_glrlm_HighGrayLevelRunEmphasis', 'n_lesions', 'baseline_num_met_organs', 'original_glszm_SizeZoneNonUniformityNormalized']","{'n_estimators': 200, 'max_depth': 10}",0.7918552036199095
outer_2_inner_3,"['original_shape_SurfaceVolumeRatio', 'original_glszm_GrayLevelNonUniformityNormalized', 'baseline_num_met_organs', 'original_gldm_LargeDependenceEmphasis', 'n_lesions']","{'n_estimators': 200, 'max_depth': 10}",0.7410714285714286
outer_2_inner_4,"['original_shape_SurfaceVolumeRatio', 'original_glcm_JointAverage', 'n_lesions', 'original_ngtdm_Coarseness', 'original_glszm_SizeZoneNonUniformityNormalized']","{'n_estimators': 200, 'max_depth': 10}",0.7619047619047619
outer_2_inner_5,"['original_shape_SurfaceVolumeRatio', 'original_glcm_JointAverage', 'n_lesions', 'original_gldm_LargeDependenceEmphasis', 'baseline_num_met_organs']","{'n_estimators': 50, 'max_depth': 10}",0.6755952380952381
outer_3_inner_1,"['original_shape_SurfaceVolumeRatio', 'original_glcm_JointAverage', 'baseline_num_met_organs', 'original_ngtdm_Coarseness', 'original_shape_Flatness']","{'n_estimators': 100, 'max_depth': 20}",0.7645502645502645
outer_3_inner_2,"['original_shape_SurfaceVolumeRatio', 'original_glszm_SmallAreaHighGrayLevelEmphasis', 'n_lesions', 'baseline_num_met_organs', 'original_gldm_DependenceNonUniformityNormalized']","{'n_estimators': 100, 'max_depth': 10}",0.7701863354037266
outer_3_inner_3,"['original_shape_SurfaceVolumeRatio', 'original_glcm_SumAverage', 'n_lesions', 'original_glrlm_ShortRunEmphasis', 'original_glszm_SizeZoneNonUniformityNormalized']","{'n_estimators': 200, 'max_depth': 10}",0.507177033492823
outer_3_inner_4,"['original_shape_SurfaceVolumeRatio', 'original_firstorder_RootMeanSquared', 'baseline_num_met_organs', 'original_gldm_LargeDependenceEmphasis', 'n_lesions']","{'n_estimators': 50, 'max_depth': 20}",0.8365384615384616
outer_3_inner_5,"['original_shape_SurfaceVolumeRatio', 'original_glszm_SmallAreaEmphasis', 'n_lesions', 'original_ngtdm_Coarseness', 'original_firstorder_RootMeanSquared']","{'n_estimators': 50, 'max_depth': 10}",0.7727272727272727
outer_4_inner_1,"['original_shape_SurfaceVolumeRatio', 'original_glszm_HighGrayLevelZoneEmphasis', 'baseline_num_met_organs', 'original_shape_Flatness', 'original_ngtdm_Coarseness']","{'n_estimators': 200, 'max_depth': 10}",0.5733333333333333
outer_4_inner_2,"['original_shape_SurfaceVolumeRatio', 'original_glcm_JointAverage', 'n_lesions', 'original_gldm_LargeDependenceEmphasis', 'baseline_num_met_organs']","{'n_estimators': 100, 'max_depth': 10}",0.7300000000000001
outer_4_inner_3,"['original_shape_SurfaceVolumeRatio', 'original_glszm_GrayLevelNonUniformityNormalized', 'n_lesions', 'original_gldm_LargeDependenceEmphasis', 'original_glszm_SmallAreaEmphasis']","{'n_estimators': 200, 'max_depth': 20}",0.7321428571428572
outer_4_inner_4,"['original_shape_SurfaceVolumeRatio', 'original_glcm_SumAverage', 'n_lesions', 'baseline_num_met_organs', 'original_glszm_SizeZoneNonUniformityNormalized']","{'n_estimators': 200, 'max_depth': 20}",0.6363636363636364
outer_4_inner_5,"['original_shape_SurfaceVolumeRatio', 'original_glszm_HighGrayLevelZoneEmphasis', 'n_lesions', 'original_glrlm_ShortRunEmphasis', 'baseline_num_met_organs']","{'n_estimators': 200, 'max_depth': 20}",0.6322115384615384
outer_5_inner_1,"['n_lesions', 'original_glcm_ClusterTendency', 'original_gldm_SmallDependenceLowGrayLevelEmphasis', 'original_glszm_SmallAreaEmphasis', 'baseline_num_met_organs']","{'n_estimators': 50, 'max_depth': 20}",0.6699999999999999
outer_5_inner_2,"['original_shape_SurfaceVolumeRatio', 'original_glrlm_HighGrayLevelRunEmphasis', 'baseline_num_met_organs', 'original_gldm_DependenceNonUniformityNormalized', 'n_lesions']","{'n_estimators': 200, 'max_depth': 20}",0.6897321428571428
outer_5_inner_3,"['original_shape_SurfaceVolumeRatio', 'original_glszm_SizeZoneNonUniformityNormalized', 'n_lesions', 'original_ngtdm_Coarseness', 'original_firstorder_RootMeanSquared']","{'n_estimators': 100, 'max_depth': 20}",0.6763392857142858
outer_5_inner_4,"['original_shape_SurfaceVolumeRatio', 'original_firstorder_Skewness', 'baseline_num_met_organs', 'original_ngtdm_Coarseness', 'original_glszm_SmallAreaEmphasis']","{'n_estimators': 50, 'max_depth': 10}",0.75
outer_5_inner_5,"['original_shape_SurfaceVolumeRatio', 'original_glcm_Correlation', 'original_glszm_SmallAreaEmphasis', 'n_lesions', 'original_ngtdm_Coarseness']","{'n_estimators': 50, 'max_depth': 10}",0.7573529411764706
