Fold,Features,Classifier_Params,AUC
outer_1_inner_1,"['original_shape_SurfaceVolumeRatio', 'original_glszm_SmallAreaHighGrayLevelEmphasis', 'n_lesions', 'original_shape_Flatness', 'baseline_num_met_organs']","{'subsample': 1.0, 'n_estimators': 75, 'max_depth': 3, 'learning_rate': 0.1}",0.7225
outer_1_inner_2,"['original_shape_SurfaceVolumeRatio', 'original_firstorder_Skewness', 'n_lesions', 'original_gldm_LargeDependenceEmphasis', 'baseline_num_met_organs']","{'subsample': 0.8, 'n_estimators': 50, 'max_depth': 5, 'learning_rate': 0.2}",0.555
outer_1_inner_3,"['original_shape_SurfaceVolumeRatio', 'original_glcm_SumAverage', 'original_gldm_LargeDependenceEmphasis', 'n_lesions', 'baseline_num_met_organs']","{'subsample': 0.8, 'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.2}",0.6832579185520362
outer_1_inner_4,"['original_shape_SurfaceVolumeRatio', 'original_glcm_SumAverage', 'n_lesions', 'original_gldm_LargeDependenceEmphasis', 'original_glrlm_ShortRunEmphasis']","{'subsample': 0.8, 'n_estimators': 50, 'max_depth': 3, 'learning_rate': 0.1}",0.580952380952381
outer_1_inner_5,"['original_shape_SurfaceVolumeRatio', 'original_firstorder_Skewness', 'n_lesions', 'original_gldm_LargeDependenceEmphasis', 'baseline_num_met_organs']","{'subsample': 1.0, 'n_estimators': 50, 'max_depth': 5, 'learning_rate': 0.1}",0.7598039215686274
outer_2_inner_1,"['original_shape_SurfaceVolumeRatio', 'original_glrlm_ShortRunHighGrayLevelEmphasis', 'n_lesions', 'original_firstorder_90Percentile', 'baseline_num_met_organs']","{'subsample': 1.0, 'n_estimators': 50, 'max_depth': 3, 'learning_rate': 0.1}",0.7377777777777779
outer_2_inner_2,"['original_glrlm_ShortRunEmphasis', 'n_lesions', 'original_glszm_SizeZoneNonUniformityNormalized', 'original_shape_Flatness', 'original_shape_SurfaceVolumeRatio']","{'subsample': 0.8, 'n_estimators': 50, 'max_depth': 5, 'learning_rate': 0.1}",0.6606334841628959
outer_2_inner_3,"['original_shape_SurfaceVolumeRatio', 'original_glszm_SmallAreaHighGrayLevelEmphasis', 'n_lesions', 'baseline_num_met_organs', 'original_gldm_LargeDependenceEmphasis']","{'subsample': 1.0, 'n_estimators': 50, 'max_depth': 3, 'learning_rate': 0.1}",0.8506787330316742
outer_2_inner_4,"['original_shape_SurfaceVolumeRatio', 'original_glcm_Correlation', 'n_lesions', 'original_shape_Flatness', 'original_glrlm_ShortRunEmphasis']","{'subsample': 1.0, 'n_estimators': 75, 'max_depth': 5, 'learning_rate': 0.1}",0.5865384615384616
outer_2_inner_5,"['original_glrlm_ShortRunEmphasis', 'original_glszm_SmallAreaLowGrayLevelEmphasis', 'n_lesions', 'original_shape_Flatness', 'original_gldm_LargeDependenceEmphasis']","{'subsample': 0.8, 'n_estimators': 50, 'max_depth': 5, 'learning_rate': 0.1}",0.7598039215686274
