Fold,Features,Classifier_Params,AUC
outer_1_inner_1,"['original_shape_SurfaceVolumeRatio', 'original_glrlm_LongRunLowGrayLevelEmphasis', 'baseline_num_met_organs', 'original_shape_Flatness', 'original_glcm_Correlation']","{'n_estimators': 200, 'max_depth': 20}",0.8994708994708994
outer_1_inner_2,"['original_shape_Flatness', 'original_glcm_Correlation', 'original_glszm_SmallAreaEmphasis', 'n_lesions', 'original_shape_Elongation']","{'n_estimators': 200, 'max_depth': 20}",0.581447963800905
outer_1_inner_3,"['original_shape_Flatness', 'baseline_num_met_organs', 'original_glrlm_ShortRunEmphasis', 'original_glcm_Correlation', 'n_lesions']","{'n_estimators': 50, 'max_depth': 20}",0.6643518518518519
outer_1_inner_4,"['original_shape_Flatness', 'baseline_num_met_organs', 'original_glszm_ZonePercentage', 'n_lesions', 'original_glcm_Correlation']","{'n_estimators': 100, 'max_depth': 20}",0.7235576923076924
outer_1_inner_5,"['original_glszm_SizeZoneNonUniformityNormalized', 'original_gldm_DependenceVariance', 'n_lesions', 'original_shape_Flatness', 'original_glszm_SmallAreaEmphasis']","{'n_estimators': 200, 'max_depth': 20}",0.6490384615384616
outer_2_inner_1,"['original_shape_Flatness', 'original_glcm_Correlation', 'n_lesions', 'original_glszm_SmallAreaEmphasis', 'original_shape_SurfaceVolumeRatio']","{'n_estimators': 200, 'max_depth': 20}",0.5982142857142857
outer_2_inner_2,"['original_shape_SurfaceVolumeRatio', 'original_firstorder_Minimum', 'n_lesions', 'original_shape_Flatness', 'baseline_num_met_organs']","{'n_estimators': 200, 'max_depth': 10}",0.6742081447963801
outer_2_inner_3,"['original_shape_Flatness', 'baseline_num_met_organs', 'original_glcm_Correlation', 'original_glszm_SmallAreaEmphasis', 'original_shape_SurfaceVolumeRatio']","{'n_estimators': 50, 'max_depth': 10}",0.859375
outer_2_inner_4,"['original_shape_Flatness', 'baseline_num_met_organs', 'original_glszm_SizeZoneNonUniformityNormalized', 'n_lesions', 'original_shape_SurfaceVolumeRatio']","{'n_estimators': 50, 'max_depth': 10}",0.7738095238095237
outer_2_inner_5,"['original_shape_Flatness', 'original_glcm_Correlation', 'original_glszm_SmallAreaEmphasis', 'n_lesions', 'original_shape_SurfaceVolumeRatio']","{'n_estimators': 50, 'max_depth': 10}",0.7232142857142857
outer_3_inner_1,"['original_shape_Flatness', 'original_glcm_Correlation', 'original_glszm_SmallAreaEmphasis', 'original_shape_SurfaceVolumeRatio', 'baseline_num_met_organs']","{'n_estimators': 200, 'max_depth': 20}",0.746031746031746
outer_3_inner_2,"['original_shape_Flatness', 'baseline_num_met_organs', 'original_glszm_SizeZoneNonUniformityNormalized', 'n_lesions', 'original_shape_SurfaceVolumeRatio']","{'n_estimators': 100, 'max_depth': 10}",0.7142857142857143
outer_3_inner_3,"['original_shape_Flatness', 'baseline_num_met_organs', 'original_glszm_SizeZoneNonUniformityNormalized', 'n_lesions', 'original_shape_SurfaceVolumeRatio']","{'n_estimators': 100, 'max_depth': 10}",0.6411483253588517
outer_3_inner_4,"['original_glszm_ZonePercentage', 'original_glrlm_RunEntropy', 'n_lesions', 'baseline_num_met_organs', 'original_shape_Flatness']","{'n_estimators': 200, 'max_depth': 10}",0.7379807692307692
outer_3_inner_5,"['original_glszm_SizeZoneNonUniformityNormalized', 'original_glcm_Correlation', 'n_lesions', 'original_shape_SurfaceVolumeRatio', 'original_shape_Flatness']","{'n_estimators': 50, 'max_depth': 10}",0.7499999999999999
outer_4_inner_1,"['original_shape_Flatness', 'baseline_num_met_organs', 'original_glszm_SizeZoneNonUniformityNormalized', 'original_shape_SurfaceVolumeRatio', 'n_lesions']","{'n_estimators': 50, 'max_depth': 10}",0.6666666666666666
outer_4_inner_2,"['original_shape_Flatness', 'baseline_num_met_organs', 'n_lesions', 'original_glszm_ZonePercentage', 'original_glcm_Correlation']","{'n_estimators': 50, 'max_depth': 10}",0.77
outer_4_inner_3,"['original_shape_Flatness', 'baseline_num_met_organs', 'original_glcm_Correlation', 'original_glszm_SmallAreaEmphasis', 'n_lesions']","{'n_estimators': 100, 'max_depth': 10}",0.625
outer_4_inner_4,"['original_glszm_SizeZoneNonUniformityNormalized', 'n_lesions', 'original_shape_SurfaceVolumeRatio', 'baseline_num_met_organs', 'original_glszm_SmallAreaEmphasis']","{'n_estimators': 200, 'max_depth': 10}",0.601010101010101
outer_4_inner_5,"['original_shape_Flatness', 'original_glcm_Correlation', 'original_glszm_SizeZoneNonUniformityNormalized', 'n_lesions', 'original_shape_SurfaceVolumeRatio']","{'n_estimators': 200, 'max_depth': 10}",0.7211538461538461
outer_5_inner_1,"['original_shape_Flatness', 'original_glcm_Correlation', 'n_lesions', 'original_glszm_SmallAreaEmphasis', 'baseline_num_met_organs']","{'n_estimators': 100, 'max_depth': 20}",0.58
outer_5_inner_2,"['original_glszm_SizeZoneNonUniformityNormalized', 'original_glrlm_RunLengthNonUniformity', 'baseline_num_met_organs', 'original_gldm_SmallDependenceLowGrayLevelEmphasis', 'n_lesions']","{'n_estimators': 50, 'max_depth': 20}",0.7008928571428572
outer_5_inner_3,"['original_shape_Flatness', 'original_glcm_Correlation', 'original_glszm_SmallAreaEmphasis', 'n_lesions', 'original_shape_SurfaceVolumeRatio']","{'n_estimators': 200, 'max_depth': 10}",0.6830357142857143
outer_5_inner_4,"['original_shape_SurfaceVolumeRatio', 'original_glrlm_LongRunLowGrayLevelEmphasis', 'baseline_num_met_organs', 'original_shape_Flatness', 'original_glcm_Correlation']","{'n_estimators': 50, 'max_depth': 20}",0.7259615384615384
outer_5_inner_5,"['original_shape_Flatness', 'baseline_num_met_organs', 'original_glszm_SizeZoneNonUniformityNormalized', 'n_lesions', 'original_shape_SurfaceVolumeRatio']","{'n_estimators': 50, 'max_depth': 10}",0.7401960784313726
