Fold,Features,Classifier_Params,AUC
outer_1_inner_1,"['original_shape_SurfaceVolumeRatio', 'original_glrlm_LongRunLowGrayLevelEmphasis', 'baseline_num_met_organs', 'original_shape_Flatness', 'original_glcm_Correlation']","{'l1_ratio': 0.3, 'C': 1}",0.8518518518518519
outer_1_inner_2,"['original_shape_Flatness', 'original_glcm_Correlation', 'original_glszm_SmallAreaEmphasis', 'n_lesions', 'original_shape_Elongation']","{'l1_ratio': 0.3, 'C': 1}",0.6199095022624435
outer_1_inner_3,"['original_shape_Flatness', 'baseline_num_met_organs', 'original_glrlm_ShortRunEmphasis', 'original_glcm_Correlation', 'n_lesions']","{'l1_ratio': 0.3, 'C': 10}",0.8240740740740741
outer_1_inner_4,"['original_shape_Flatness', 'baseline_num_met_organs', 'original_glszm_ZonePercentage', 'n_lesions', 'original_glcm_Correlation']","{'l1_ratio': 0.3, 'C': 1}",0.7307692307692307
outer_1_inner_5,"['original_glszm_SizeZoneNonUniformityNormalized', 'original_gldm_DependenceVariance', 'n_lesions', 'original_shape_Flatness', 'original_glszm_SmallAreaEmphasis']","{'l1_ratio': 0.5, 'C': 10}",0.7596153846153846
outer_2_inner_1,"['original_shape_Flatness', 'original_glcm_Correlation', 'n_lesions', 'original_glszm_SmallAreaEmphasis', 'original_shape_SurfaceVolumeRatio']","{'l1_ratio': 0.3, 'C': 0.1}",0.8035714285714286
outer_2_inner_2,"['original_shape_SurfaceVolumeRatio', 'original_firstorder_Minimum', 'n_lesions', 'original_shape_Flatness', 'baseline_num_met_organs']","{'l1_ratio': 0.3, 'C': 10}",0.7737556561085973
outer_2_inner_3,"['original_shape_Flatness', 'baseline_num_met_organs', 'original_glcm_Correlation', 'original_glszm_SmallAreaEmphasis', 'original_shape_SurfaceVolumeRatio']","{'l1_ratio': 0.3, 'C': 0.1}",0.7991071428571428
outer_2_inner_4,"['original_shape_Flatness', 'baseline_num_met_organs', 'original_glszm_SizeZoneNonUniformityNormalized', 'n_lesions', 'original_shape_SurfaceVolumeRatio']","{'l1_ratio': 0.3, 'C': 10}",0.8095238095238095
outer_2_inner_5,"['original_shape_Flatness', 'original_glcm_Correlation', 'original_glszm_SmallAreaEmphasis', 'n_lesions', 'original_shape_SurfaceVolumeRatio']","{'l1_ratio': 0.3, 'C': 10}",0.8154761904761905
outer_3_inner_1,"['original_shape_Flatness', 'original_glcm_Correlation', 'original_glszm_SmallAreaEmphasis', 'original_shape_SurfaceVolumeRatio', 'baseline_num_met_organs']","{'l1_ratio': 0.3, 'C': 1}",0.7936507936507936
outer_3_inner_2,"['original_shape_Flatness', 'baseline_num_met_organs', 'original_glszm_SizeZoneNonUniformityNormalized', 'n_lesions', 'original_shape_SurfaceVolumeRatio']","{'l1_ratio': 0.3, 'C': 10}",0.7888198757763976
outer_3_inner_3,"['original_shape_Flatness', 'weight', 'original_glszm_SizeZoneNonUniformityNormalized', 'original_shape_SurfaceVolumeRatio', 'n_lesions']","{'l1_ratio': 0.3, 'C': 10}",0.6172248803827751
outer_3_inner_4,"['original_glszm_ZonePercentage', 'original_glrlm_RunEntropy', 'n_lesions', 'baseline_num_met_organs', 'original_shape_Flatness']","{'l1_ratio': 0.5, 'C': 10}",0.7980769230769231
outer_3_inner_5,"['original_glszm_SizeZoneNonUniformityNormalized', 'original_glcm_Correlation', 'n_lesions', 'original_shape_SurfaceVolumeRatio', 'original_shape_Flatness']","{'l1_ratio': 0.3, 'C': 10}",0.7929292929292929
outer_4_inner_1,"['original_shape_Flatness', 'baseline_num_met_organs', 'original_glszm_SizeZoneNonUniformityNormalized', 'original_shape_SurfaceVolumeRatio', 'n_lesions']","{'l1_ratio': 0.3, 'C': 0.1}",0.8444444444444444
outer_4_inner_2,"['original_shape_Flatness', 'baseline_num_met_organs', 'n_lesions', 'original_glszm_ZonePercentage', 'original_glcm_Correlation']","{'l1_ratio': 0.3, 'C': 10}",0.8300000000000001
outer_4_inner_3,"['original_shape_Flatness', 'weight', 'original_glszm_SizeZoneNonUniformityNormalized', 'original_glcm_Correlation', 'n_lesions']","{'l1_ratio': 1, 'C': 1}",0.7098214285714286
outer_4_inner_4,"['original_glszm_SizeZoneNonUniformityNormalized', 'n_lesions', 'original_shape_SurfaceVolumeRatio', 'baseline_num_met_organs', 'original_glszm_SmallAreaEmphasis']","{'l1_ratio': 0.3, 'C': 10}",0.7626262626262625
outer_4_inner_5,"['original_shape_Flatness', 'original_glcm_Correlation', 'original_glszm_SizeZoneNonUniformityNormalized', 'n_lesions', 'original_shape_SurfaceVolumeRatio']","{'l1_ratio': 1, 'C': 1}",0.7980769230769231
outer_5_inner_1,"['original_shape_Flatness', 'original_glcm_Correlation', 'n_lesions', 'original_glszm_SmallAreaEmphasis', 'baseline_num_met_organs']","{'l1_ratio': 0.3, 'C': 10}",0.725
outer_5_inner_2,"['original_glszm_SizeZoneNonUniformityNormalized', 'original_glrlm_RunLengthNonUniformity', 'baseline_num_met_organs', 'original_gldm_SmallDependenceLowGrayLevelEmphasis', 'n_lesions']","{'l1_ratio': 0.3, 'C': 1}",0.8035714285714286
outer_5_inner_3,"['original_shape_Flatness', 'original_glcm_Correlation', 'original_glszm_SmallAreaEmphasis', 'n_lesions', 'original_shape_SurfaceVolumeRatio']","{'l1_ratio': 0.3, 'C': 10}",0.71875
outer_5_inner_4,"['original_shape_SurfaceVolumeRatio', 'original_glrlm_LongRunLowGrayLevelEmphasis', 'baseline_num_met_organs', 'original_shape_Flatness', 'original_glcm_Correlation']","{'l1_ratio': 0.3, 'C': 0.1}",0.841346153846154
outer_5_inner_5,"['original_shape_Flatness', 'baseline_num_met_organs', 'original_glszm_SizeZoneNonUniformityNormalized', 'n_lesions', 'original_shape_SurfaceVolumeRatio']","{'l1_ratio': 0.3, 'C': 1}",0.8088235294117647
