Fold,Features,Classifier_Params,AUC
outer_1_inner_1,"['original_shape_Flatness', 'weight', 'original_glcm_ClusterProminence', 'original_glszm_SizeZoneNonUniformityNormalized', 'n_lesions']","{'subsample': 0.8, 'n_estimators': 50, 'max_depth': 3, 'learning_rate': 0.1}",0.7649999999999999
outer_1_inner_2,"['original_shape_Flatness', 'weight', 'original_glrlm_ShortRunEmphasis', 'baseline_num_met_organs', 'n_lesions']","{'subsample': 1.0, 'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.1}",0.5800000000000001
outer_1_inner_3,"['original_shape_Flatness', 'original_glcm_Correlation', 'n_lesions', 'original_glrlm_ShortRunEmphasis', 'baseline_num_met_organs']","{'subsample': 0.8, 'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1}",0.755656108597285
outer_1_inner_4,"['original_shape_Flatness', 'weight', 'original_glszm_SizeZoneNonUniformityNormalized', 'n_lesions', 'original_shape_SurfaceVolumeRatio']","{'subsample': 0.8, 'n_estimators': 50, 'max_depth': 3, 'learning_rate': 0.1}",0.6833333333333333
outer_1_inner_5,"['original_shape_Flatness', 'original_firstorder_Range', 'n_lesions', 'original_shape_SurfaceVolumeRatio', 'baseline_num_met_organs']","{'subsample': 1.0, 'n_estimators': 50, 'max_depth': 5, 'learning_rate': 0.1}",0.8872549019607843
outer_2_inner_1,"['original_shape_Flatness', 'original_glcm_Correlation', 'n_lesions', 'original_glszm_SmallAreaEmphasis', 'baseline_num_met_organs']","{'subsample': 0.8, 'n_estimators': 50, 'max_depth': 5, 'learning_rate': 0.1}",0.76
outer_2_inner_2,"['original_shape_Flatness', 'original_firstorder_Skewness', 'n_lesions', 'original_glrlm_RunPercentage', 'original_glszm_SizeZoneNonUniformityNormalized']","{'subsample': 0.8, 'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1}",0.5882352941176471
outer_2_inner_3,"['original_shape_Flatness', 'weight', 'original_glszm_SizeZoneNonUniformityNormalized', 'baseline_num_met_organs', 'original_shape_SurfaceVolumeRatio']","{'subsample': 1.0, 'n_estimators': 50, 'max_depth': 3, 'learning_rate': 0.1}",0.8506787330316742
outer_2_inner_4,"['original_shape_Flatness', 'weight', 'original_glrlm_ShortRunEmphasis', 'n_lesions', 'original_shape_SurfaceVolumeRatio']","{'subsample': 1.0, 'n_estimators': 50, 'max_depth': 5, 'learning_rate': 0.2}",0.6009615384615384
outer_2_inner_5,"['original_shape_Flatness', 'original_firstorder_Minimum', 'n_lesions', 'original_glrlm_RunVariance', 'original_glszm_SizeZoneNonUniformityNormalized']","{'subsample': 0.8, 'n_estimators': 50, 'max_depth': 3, 'learning_rate': 0.1}",0.7352941176470589
outer_3_inner_1,"['original_glszm_SizeZoneNonUniformityNormalized', 'original_glszm_GrayLevelNonUniformity', 'n_lesions', 'original_gldm_SmallDependenceLowGrayLevelEmphasis', 'baseline_num_met_organs']","{'subsample': 0.8, 'n_estimators': 75, 'max_depth': 3, 'learning_rate': 0.1}",0.6555023923444976
outer_3_inner_2,"['original_shape_Flatness', 'original_glcm_Correlation', 'n_lesions', 'original_glrlm_ShortRunEmphasis', 'original_shape_SurfaceVolumeRatio']","{'subsample': 0.8, 'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.1}",0.7737556561085973
outer_3_inner_3,"['original_glszm_SizeZoneNonUniformityNormalized', 'n_lesions', 'original_shape_SurfaceVolumeRatio', 'baseline_num_met_organs', 'original_shape_Flatness']","{'subsample': 1.0, 'n_estimators': 50, 'max_depth': 3, 'learning_rate': 0.1}",0.6919642857142857
outer_3_inner_4,"['original_shape_Flatness', 'weight', 'original_glcm_ClusterProminence', 'n_lesions', 'original_shape_SurfaceVolumeRatio']","{'subsample': 0.8, 'n_estimators': 50, 'max_depth': 3, 'learning_rate': 0.1}",0.7596153846153846
outer_3_inner_5,"['original_shape_Flatness', 'weight', 'original_glrlm_ShortRunEmphasis', 'n_lesions', 'original_shape_Elongation']","{'subsample': 0.8, 'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.1}",0.6000000000000001
outer_4_inner_1,"['original_shape_Flatness', 'original_firstorder_Range', 'n_lesions', 'baseline_num_met_organs', 'original_glrlm_LongRunEmphasis']","{'subsample': 0.8, 'n_estimators': 50, 'max_depth': 3, 'learning_rate': 0.1}",0.8325791855203619
outer_4_inner_2,"['original_shape_Flatness', 'original_glcm_Correlation', 'original_glszm_SmallAreaEmphasis', 'n_lesions', 'original_shape_SurfaceVolumeRatio']","{'subsample': 0.8, 'n_estimators': 75, 'max_depth': 3, 'learning_rate': 0.1}",0.7822222222222222
outer_4_inner_3,"['original_glszm_SizeZoneNonUniformityNormalized', 'n_lesions', 'original_glszm_ZoneEntropy', 'original_shape_Flatness', 'baseline_num_met_organs']","{'subsample': 0.8, 'n_estimators': 50, 'max_depth': 3, 'learning_rate': 0.1}",0.6028708133971292
outer_4_inner_4,"['original_shape_Flatness', 'original_glcm_Correlation', 'n_lesions', 'original_glszm_SizeZoneNonUniformityNormalized', 'original_shape_SurfaceVolumeRatio']","{'subsample': 0.8, 'n_estimators': 50, 'max_depth': 3, 'learning_rate': 0.1}",0.7401960784313726
outer_4_inner_5,"['original_shape_Flatness', 'weight', 'original_glrlm_ShortRunEmphasis', 'n_lesions', 'original_shape_SurfaceVolumeRatio']","{'subsample': 0.8, 'n_estimators': 50, 'max_depth': 5, 'learning_rate': 0.1}",0.7222222222222222
outer_5_inner_1,"['original_shape_SurfaceVolumeRatio', 'n_lesions', 'original_firstorder_Minimum', 'original_shape_Flatness', 'baseline_num_met_organs']","{'subsample': 0.8, 'n_estimators': 75, 'max_depth': 3, 'learning_rate': 0.1}",0.6311111111111111
outer_5_inner_2,"['original_shape_Flatness', 'original_glcm_ClusterShade', 'weight', 'original_shape_SurfaceVolumeRatio', 'original_glszm_SizeZoneNonUniformityNormalized']","{'subsample': 1.0, 'n_estimators': 50, 'max_depth': 3, 'learning_rate': 0.1}",0.7149321266968326
outer_5_inner_3,"['original_shape_Flatness', 'weight', 'original_glszm_SizeZoneNonUniformityNormalized', 'n_lesions', 'original_glcm_Correlation']","{'subsample': 0.8, 'n_estimators': 50, 'max_depth': 5, 'learning_rate': 0.1}",0.7513227513227513
outer_5_inner_4,"['n_lesions', 'original_firstorder_MeanAbsoluteDeviation', 'original_gldm_SmallDependenceLowGrayLevelEmphasis', 'original_shape_Flatness', 'baseline_num_met_organs']","{'subsample': 1.0, 'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.2}",0.6923076923076923
