Fold,Features,Classifier_Params,AUC
outer_1_inner_1,"['original_gldm_SmallDependenceEmphasis', 'original_firstorder_Kurtosis', 'original_shape_Elongation', 'original_glszm_ZonePercentage', 'original_shape_Maximum2DDiameterColumn']","{'l1_ratio': 1, 'C': 0.1}",0.7008928571428571
outer_1_inner_2,"['original_shape_Flatness', 'original_glrlm_RunEntropy', 'original_gldm_SmallDependenceEmphasis', 'original_shape_SurfaceVolumeRatio', 'original_glszm_SmallAreaEmphasis']","{'l1_ratio': 0.3, 'C': 1}",0.8190045248868778
outer_1_inner_3,"['original_gldm_SmallDependenceEmphasis', 'original_gldm_DependenceEntropy', 'original_shape_Flatness', 'original_glszm_SizeZoneNonUniformityNormalized', 'original_glszm_ZonePercentage']","{'l1_ratio': 1, 'C': 10}",0.8240740740740741
outer_1_inner_4,"['original_glszm_ZonePercentage', 'original_glrlm_LongRunHighGrayLevelEmphasis', 'original_shape_Flatness', 'original_gldm_SmallDependenceEmphasis', 'original_glszm_SizeZoneNonUniformityNormalized']","{'l1_ratio': 0.3, 'C': 0.1}",0.7067307692307692
outer_1_inner_5,"['original_shape_Flatness', 'original_glszm_SizeZoneNonUniformityNormalized', 'original_gldm_DependenceVariance', 'original_glszm_SmallAreaEmphasis', 'original_shape_Elongation']","{'l1_ratio': 0.3, 'C': 10}",0.5490196078431373
outer_2_inner_1,"['original_gldm_SmallDependenceEmphasis', 'original_glcm_Correlation', 'original_shape_Flatness', 'original_glszm_SizeZoneNonUniformityNormalized', 'original_glszm_ZonePercentage']","{'l1_ratio': 0.3, 'C': 1}",0.6923076923076923
outer_2_inner_2,"['original_shape_Flatness', 'original_gldm_DependenceVariance', 'original_glszm_SizeZoneNonUniformityNormalized', 'original_firstorder_90Percentile', 'original_glszm_ZoneEntropy']","{'l1_ratio': 0.3, 'C': 10}",0.7239819004524887
outer_2_inner_3,"['original_gldm_SmallDependenceEmphasis', 'original_glrlm_RunEntropy', 'original_shape_Elongation', 'original_glszm_ZonePercentage', 'original_shape_Flatness']","{'l1_ratio': 1, 'C': 10}",0.7962962962962963
outer_2_inner_4,"['original_glszm_SizeZoneNonUniformityNormalized', 'original_shape_SurfaceVolumeRatio', 'original_shape_Flatness', 'original_glszm_SmallAreaEmphasis', 'original_glszm_ZonePercentage']","{'l1_ratio': 0.3, 'C': 0.1}",0.6898148148148149
outer_2_inner_5,"['original_gldm_SmallDependenceEmphasis', 'original_glcm_Correlation', 'original_shape_Flatness', 'original_glszm_SmallAreaEmphasis', 'original_shape_Maximum2DDiameterColumn']","{'l1_ratio': 0.3, 'C': 0.1}",0.7736842105263159
outer_3_inner_1,"['original_shape_Flatness', 'original_glrlm_LowGrayLevelRunEmphasis', 'original_glszm_ZonePercentage', 'original_gldm_SmallDependenceEmphasis', 'original_shape_Elongation']","{'l1_ratio': 0.3, 'C': 10}",0.7849999999999999
outer_3_inner_2,"['original_gldm_SmallDependenceEmphasis', 'original_glcm_Correlation', 'original_shape_Flatness', 'original_glszm_SmallAreaEmphasis', 'original_shape_SurfaceVolumeRatio']","{'l1_ratio': 0.3, 'C': 1}",0.6984126984126984
outer_3_inner_3,"['original_gldm_SmallDependenceEmphasis', 'original_glrlm_RunEntropy', 'original_shape_Elongation', 'original_glszm_ZonePercentage', 'original_glszm_SizeZoneNonUniformityNormalized']","{'l1_ratio': 0.3, 'C': 1}",0.6877828054298643
outer_3_inner_4,"['original_glszm_ZonePercentage', 'original_glcm_Correlation', 'original_shape_Flatness', 'original_glszm_ZoneEntropy', 'original_glszm_SmallAreaEmphasis']","{'l1_ratio': 0.3, 'C': 1}",0.7963800904977376
outer_3_inner_5,"['original_shape_Flatness', 'original_glcm_Correlation', 'original_gldm_SmallDependenceEmphasis', 'original_glszm_SizeZoneNonUniformityNormalized', 'original_shape_Maximum2DDiameterColumn']","{'l1_ratio': 0.5, 'C': 0.1}",0.7388888888888889
outer_4_inner_1,"['original_shape_Flatness', 'original_glcm_Correlation', 'original_glszm_SmallAreaEmphasis', 'original_shape_SurfaceVolumeRatio', 'original_gldm_SmallDependenceEmphasis']","{'l1_ratio': 0.3, 'C': 1}",0.7751196172248804
outer_4_inner_2,"['original_shape_Flatness', 'original_glcm_Correlation', 'original_glszm_ZonePercentage', 'original_glszm_SizeZoneNonUniformityNormalized', 'original_shape_SurfaceVolumeRatio']","{'l1_ratio': 0.3, 'C': 10}",0.875
outer_4_inner_3,"['original_gldm_SmallDependenceEmphasis', 'original_shape_Sphericity', 'original_glszm_SmallAreaLowGrayLevelEmphasis', 'original_glszm_ZonePercentage', 'original_shape_Flatness']","{'l1_ratio': 1, 'C': 10}",0.8348214285714286
outer_4_inner_4,"['original_glszm_ZonePercentage', 'original_glrlm_LongRunHighGrayLevelEmphasis', 'original_shape_Flatness', 'original_gldm_SmallDependenceEmphasis', 'original_glcm_Correlation']","{'l1_ratio': 0.3, 'C': 0.1}",0.7723214285714286
outer_4_inner_5,"['original_shape_Flatness', 'original_gldm_SmallDependenceEmphasis', 'original_glcm_Correlation', 'original_glszm_SizeZoneNonUniformityNormalized', 'original_shape_Elongation']","{'l1_ratio': 0.3, 'C': 0.1}",0.5909090909090909
outer_5_inner_1,"['original_gldm_SmallDependenceEmphasis', 'original_glcm_Correlation', 'original_shape_Flatness', 'original_glszm_SmallAreaEmphasis', 'original_shape_SurfaceVolumeRatio']","{'l1_ratio': 0.3, 'C': 10}",0.74
outer_5_inner_2,"['original_gldm_SmallDependenceEmphasis', 'original_glcm_Correlation', 'original_shape_Flatness', 'original_glszm_SizeZoneNonUniformity', 'original_glszm_ZonePercentage']","{'l1_ratio': 0.3, 'C': 0.1}",0.9049773755656109
