Fold,Features,Classifier_Params,AUC
outer_1_inner_1,"['original_gldm_SmallDependenceEmphasis', 'original_firstorder_Kurtosis', 'original_shape_Elongation', 'original_glszm_ZonePercentage', 'original_shape_Maximum2DDiameterColumn']","{'n_estimators': 200, 'max_depth': 10}",0.7723214285714286
outer_1_inner_2,"['original_shape_Flatness', 'original_glrlm_RunEntropy', 'original_gldm_SmallDependenceEmphasis', 'original_shape_SurfaceVolumeRatio', 'original_glszm_SmallAreaEmphasis']","{'n_estimators': 100, 'max_depth': 20}",0.7239819004524887
outer_1_inner_3,"['original_gldm_SmallDependenceEmphasis', 'original_gldm_DependenceEntropy', 'original_shape_Flatness', 'original_glszm_SizeZoneNonUniformityNormalized', 'original_glszm_ZonePercentage']","{'n_estimators': 100, 'max_depth': 20}",0.8356481481481481
outer_1_inner_4,"['original_glszm_ZonePercentage', 'original_glrlm_LongRunHighGrayLevelEmphasis', 'original_shape_Flatness', 'original_gldm_SmallDependenceEmphasis', 'original_glszm_SizeZoneNonUniformityNormalized']","{'n_estimators': 100, 'max_depth': 20}",0.685096153846154
outer_1_inner_5,"['original_shape_Flatness', 'original_glszm_SizeZoneNonUniformityNormalized', 'original_gldm_DependenceVariance', 'original_glszm_SmallAreaEmphasis', 'original_shape_Elongation']","{'n_estimators': 200, 'max_depth': 20}",0.4926470588235294
outer_2_inner_1,"['original_gldm_SmallDependenceEmphasis', 'original_glcm_Correlation', 'original_shape_Flatness', 'original_glszm_SizeZoneNonUniformityNormalized', 'original_glszm_ZonePercentage']","{'n_estimators': 200, 'max_depth': 10}",0.5158371040723982
outer_2_inner_2,"['original_shape_Flatness', 'original_gldm_DependenceVariance', 'original_glszm_SizeZoneNonUniformityNormalized', 'original_firstorder_90Percentile', 'original_glszm_ZoneEntropy']","{'n_estimators': 200, 'max_depth': 20}",0.7013574660633484
outer_2_inner_3,"['original_gldm_SmallDependenceEmphasis', 'original_glrlm_RunEntropy', 'original_shape_Elongation', 'original_glszm_ZonePercentage', 'original_shape_Flatness']","{'n_estimators': 50, 'max_depth': 20}",0.7824074074074074
outer_2_inner_4,"['original_glszm_SizeZoneNonUniformityNormalized', 'original_shape_SurfaceVolumeRatio', 'original_shape_Flatness', 'original_glszm_SmallAreaEmphasis', 'original_glszm_ZonePercentage']","{'n_estimators': 200, 'max_depth': 10}",0.638888888888889
outer_2_inner_5,"['original_gldm_SmallDependenceEmphasis', 'original_glcm_Correlation', 'original_shape_Flatness', 'original_glszm_SmallAreaEmphasis', 'original_shape_Maximum2DDiameterColumn']","{'n_estimators': 50, 'max_depth': 10}",0.7578947368421053
outer_3_inner_1,"['original_shape_Flatness', 'original_glrlm_LowGrayLevelRunEmphasis', 'original_glszm_ZonePercentage', 'original_gldm_SmallDependenceEmphasis', 'original_shape_Elongation']","{'n_estimators': 50, 'max_depth': 10}",0.7224999999999999
outer_3_inner_2,"['original_gldm_SmallDependenceEmphasis', 'original_glcm_Correlation', 'original_shape_Flatness', 'original_glszm_SmallAreaEmphasis', 'original_shape_SurfaceVolumeRatio']","{'n_estimators': 100, 'max_depth': 10}",0.5687830687830687
outer_3_inner_3,"['original_gldm_SmallDependenceEmphasis', 'original_glrlm_RunEntropy', 'original_shape_Elongation', 'original_glszm_ZonePercentage', 'original_glszm_SizeZoneNonUniformityNormalized']","{'n_estimators': 100, 'max_depth': 20}",0.6855203619909502
outer_3_inner_4,"['original_glszm_ZonePercentage', 'original_glcm_Correlation', 'original_shape_Flatness', 'original_glszm_ZoneEntropy', 'original_glszm_SmallAreaEmphasis']","{'n_estimators': 50, 'max_depth': 10}",0.8031674208144796
outer_3_inner_5,"['original_shape_Flatness', 'original_glcm_Correlation', 'original_gldm_SmallDependenceEmphasis', 'original_glszm_SizeZoneNonUniformityNormalized', 'original_shape_Maximum2DDiameterColumn']","{'n_estimators': 50, 'max_depth': 10}",0.6972222222222223
outer_4_inner_1,"['original_shape_Flatness', 'original_glcm_Correlation', 'original_glszm_SmallAreaEmphasis', 'original_shape_SurfaceVolumeRatio', 'original_gldm_SmallDependenceEmphasis']","{'n_estimators': 200, 'max_depth': 20}",0.6435406698564593
outer_4_inner_2,"['original_shape_Flatness', 'original_glcm_Correlation', 'original_glszm_ZonePercentage', 'original_glszm_SizeZoneNonUniformityNormalized', 'original_shape_SurfaceVolumeRatio']","{'n_estimators': 200, 'max_depth': 10}",0.705
outer_4_inner_3,"['original_gldm_SmallDependenceEmphasis', 'original_shape_Sphericity', 'original_glszm_SmallAreaLowGrayLevelEmphasis', 'original_glszm_ZonePercentage', 'original_shape_Flatness']","{'n_estimators': 200, 'max_depth': 20}",0.8504464285714285
outer_4_inner_4,"['original_glszm_ZonePercentage', 'original_glrlm_LongRunHighGrayLevelEmphasis', 'original_shape_Flatness', 'original_gldm_SmallDependenceEmphasis', 'original_glcm_Correlation']","{'n_estimators': 200, 'max_depth': 20}",0.6540178571428572
outer_4_inner_5,"['original_shape_Flatness', 'original_gldm_SmallDependenceEmphasis', 'original_glcm_Correlation', 'original_glszm_SizeZoneNonUniformityNormalized', 'original_shape_Elongation']","{'n_estimators': 100, 'max_depth': 20}",0.5984848484848485
outer_5_inner_1,"['original_gldm_SmallDependenceEmphasis', 'original_glcm_Correlation', 'original_shape_Flatness', 'original_glszm_SmallAreaEmphasis', 'original_shape_SurfaceVolumeRatio']","{'n_estimators': 100, 'max_depth': 20}",0.6125
outer_5_inner_2,"['original_gldm_SmallDependenceEmphasis', 'original_glcm_Correlation', 'original_shape_Flatness', 'original_glszm_SizeZoneNonUniformity', 'original_glszm_ZonePercentage']","{'n_estimators': 200, 'max_depth': 10}",0.8235294117647058
outer_5_inner_3,"['original_gldm_SmallDependenceEmphasis', 'original_shape_Flatness', 'original_glszm_ZoneEntropy', 'original_glszm_SmallAreaEmphasis', 'original_shape_LeastAxisLength']","{'n_estimators': 100, 'max_depth': 20}",0.6116071428571428
outer_5_inner_4,"['original_gldm_SmallDependenceEmphasis', 'original_shape_Sphericity', 'original_glszm_ZoneEntropy', 'original_shape_Flatness', 'original_glszm_ZonePercentage']","{'n_estimators': 200, 'max_depth': 20}",0.8657407407407408
outer_5_inner_5,"['original_gldm_SmallDependenceEmphasis', 'original_gldm_DependenceEntropy', 'original_shape_Flatness', 'original_glszm_SizeZoneNonUniformityNormalized', 'original_glszm_ZoneEntropy']","{'n_estimators': 200, 'max_depth': 20}",0.6995192307692308
