Fold,Features,Classifier_Params,AUC
outer_1_inner_1,"Index(['original_gldm_SmallDependenceEmphasis',
       'original_glrlm_RunLengthNonUniformityNormalized',
       'original_glrlm_ShortRunEmphasis',
       'original_glszm_SizeZoneNonUniformityNormalized',
       'original_glszm_ZonePercentage'],
      dtype='object')","{'subsample': 0.8, 'n_estimators': 100, 'max_depth': 30, 'learning_rate': 0.1}",0.5848214285714286
outer_1_inner_2,"Index(['original_shape_Flatness', 'original_shape_LeastAxisLength',
       'original_gldm_SmallDependenceEmphasis', 'original_glszm_ZoneEntropy',
       'original_glszm_ZonePercentage'],
      dtype='object')","{'subsample': 0.8, 'n_estimators': 100, 'max_depth': 30, 'learning_rate': 0.2}",0.7149321266968326
outer_1_inner_3,"Index(['original_gldm_SmallDependenceEmphasis',
       'original_glrlm_RunLengthNonUniformityNormalized',
       'original_glrlm_RunPercentage',
       'original_glszm_SizeZoneNonUniformityNormalized',
       'original_glszm_ZonePercentage'],
      dtype='object')","{'subsample': 0.9, 'n_estimators': 50, 'max_depth': 20, 'learning_rate': 0.1}",0.6736111111111112
outer_1_inner_4,"Index(['original_shape_Flatness', 'original_gldm_SmallDependenceEmphasis',
       'original_glszm_SizeZoneNonUniformityNormalized',
       'original_glszm_SmallAreaEmphasis', 'original_glszm_ZonePercentage'],
      dtype='object')","{'subsample': 1.0, 'n_estimators': 50, 'max_depth': 20, 'learning_rate': 0.1}",0.5480769230769231
outer_1_inner_5,"Index(['original_shape_Elongation', 'original_shape_Flatness',
       'original_glrlm_ShortRunEmphasis',
       'original_glszm_SizeZoneNonUniformityNormalized',
       'original_glszm_SmallAreaEmphasis'],
      dtype='object')","{'subsample': 1.0, 'n_estimators': 100, 'max_depth': 30, 'learning_rate': 0.2}",0.6078431372549019
outer_2_inner_1,"Index(['original_gldm_SmallDependenceEmphasis',
       'original_glrlm_RunLengthNonUniformityNormalized',
       'original_glrlm_RunPercentage', 'original_glrlm_ShortRunEmphasis',
       'original_glszm_ZonePercentage'],
      dtype='object')","{'subsample': 0.8, 'n_estimators': 50, 'max_depth': 10, 'learning_rate': 0.3}",0.48416289592760187
outer_2_inner_2,"Index(['original_shape_Flatness', 'original_shape_LeastAxisLength',
       'original_shape_Maximum2DDiameterColumn',
       'original_shape_Maximum2DDiameterSlice',
       'original_glszm_SizeZoneNonUniformityNormalized'],
      dtype='object')","{'subsample': 0.8, 'n_estimators': 100, 'max_depth': 10, 'learning_rate': 0.1}",0.7239819004524887
outer_2_inner_3,"Index(['original_shape_Flatness', 'original_gldm_SmallDependenceEmphasis',
       'original_glrlm_RunLengthNonUniformityNormalized',
       'original_glszm_ZoneEntropy', 'original_glszm_ZonePercentage'],
      dtype='object')","{'subsample': 1.0, 'n_estimators': 50, 'max_depth': 10, 'learning_rate': 0.1}",0.7175925925925926
outer_2_inner_4,"Index(['original_shape_Flatness', 'original_gldm_SmallDependenceEmphasis',
       'original_glszm_SizeZoneNonUniformityNormalized',
       'original_glszm_SmallAreaEmphasis', 'original_glszm_ZonePercentage'],
      dtype='object')","{'subsample': 0.8, 'n_estimators': 50, 'max_depth': 30, 'learning_rate': 0.1}",0.6990740740740741
outer_2_inner_5,"Index(['original_shape_Flatness', 'original_shape_Maximum2DDiameterColumn',
       'original_gldm_SmallDependenceEmphasis',
       'original_glrlm_RunLengthNonUniformityNormalized',
       'original_glszm_ZonePercentage'],
      dtype='object')","{'subsample': 1.0, 'n_estimators': 150, 'max_depth': 30, 'learning_rate': 0.1}",0.7421052631578948
