Fold,Features,Classifier_Params,AUC
outer_1_inner_1,"['original_gldm_SmallDependenceEmphasis', 'original_firstorder_Kurtosis', 'original_shape_Elongation', 'original_glszm_ZonePercentage', 'original_shape_Maximum2DDiameterColumn']","{'subsample': 1.0, 'n_estimators': 150, 'max_depth': 30, 'learning_rate': 0.2}",0.763392857142857
outer_1_inner_2,"['original_shape_Flatness', 'original_glrlm_RunEntropy', 'original_gldm_SmallDependenceEmphasis', 'original_shape_SurfaceVolumeRatio', 'original_glszm_SmallAreaEmphasis']","{'subsample': 1.0, 'n_estimators': 50, 'max_depth': 10, 'learning_rate': 0.1}",0.7081447963800905
outer_1_inner_3,"['original_gldm_SmallDependenceEmphasis', 'original_gldm_DependenceEntropy', 'original_shape_Flatness', 'original_glszm_SizeZoneNonUniformityNormalized', 'original_glszm_ZonePercentage']","{'subsample': 0.9, 'n_estimators': 50, 'max_depth': 20, 'learning_rate': 0.3}",0.7268518518518519
outer_1_inner_4,"['original_glszm_ZonePercentage', 'original_glrlm_LongRunHighGrayLevelEmphasis', 'original_shape_Flatness', 'original_gldm_SmallDependenceEmphasis', 'original_glszm_SizeZoneNonUniformityNormalized']","{'subsample': 1.0, 'n_estimators': 50, 'max_depth': 30, 'learning_rate': 0.1}",0.5865384615384616
outer_1_inner_5,"['original_shape_Flatness', 'original_glszm_SizeZoneNonUniformityNormalized', 'original_gldm_DependenceVariance', 'original_glszm_SmallAreaEmphasis', 'original_shape_Elongation']","{'subsample': 0.8, 'n_estimators': 50, 'max_depth': 30, 'learning_rate': 0.1}",0.5637254901960784
outer_2_inner_1,"['original_gldm_SmallDependenceEmphasis', 'original_glcm_Correlation', 'original_shape_Flatness', 'original_glszm_SizeZoneNonUniformityNormalized', 'original_glszm_ZonePercentage']","{'subsample': 1.0, 'n_estimators': 100, 'max_depth': 20, 'learning_rate': 0.3}",0.43891402714932126
outer_2_inner_2,"['original_shape_Flatness', 'original_gldm_DependenceVariance', 'original_glszm_SizeZoneNonUniformityNormalized', 'original_firstorder_90Percentile', 'original_glszm_ZoneEntropy']","{'subsample': 0.8, 'n_estimators': 50, 'max_depth': 10, 'learning_rate': 0.1}",0.6561085972850679
outer_2_inner_3,"['original_gldm_SmallDependenceEmphasis', 'original_glrlm_RunEntropy', 'original_shape_Elongation', 'original_glszm_ZonePercentage', 'original_shape_Flatness']","{'subsample': 0.9, 'n_estimators': 150, 'max_depth': 20, 'learning_rate': 0.3}",0.7453703703703705
outer_2_inner_4,"['original_glszm_SizeZoneNonUniformityNormalized', 'original_shape_SurfaceVolumeRatio', 'original_shape_Flatness', 'original_glszm_SmallAreaEmphasis', 'original_glszm_ZonePercentage']","{'subsample': 0.8, 'n_estimators': 50, 'max_depth': 30, 'learning_rate': 0.1}",0.6435185185185185
outer_2_inner_5,"['original_gldm_SmallDependenceEmphasis', 'original_glcm_Correlation', 'original_shape_Flatness', 'original_glszm_SmallAreaEmphasis', 'original_shape_Maximum2DDiameterColumn']","{'subsample': 0.8, 'n_estimators': 150, 'max_depth': 20, 'learning_rate': 0.1}",0.6842105263157895
outer_3_inner_1,"['original_shape_Flatness', 'original_glrlm_LowGrayLevelRunEmphasis', 'original_glszm_ZonePercentage', 'original_gldm_SmallDependenceEmphasis', 'original_shape_Elongation']","{'subsample': 0.8, 'n_estimators': 100, 'max_depth': 20, 'learning_rate': 0.2}",0.6950000000000001
outer_3_inner_2,"['original_gldm_SmallDependenceEmphasis', 'original_glcm_Correlation', 'original_shape_Flatness', 'original_glszm_SmallAreaEmphasis', 'original_shape_SurfaceVolumeRatio']","{'subsample': 0.8, 'n_estimators': 50, 'max_depth': 10, 'learning_rate': 0.1}",0.5873015873015873
outer_3_inner_3,"['original_gldm_SmallDependenceEmphasis', 'original_glrlm_RunEntropy', 'original_shape_Elongation', 'original_glszm_ZonePercentage', 'original_glszm_SizeZoneNonUniformityNormalized']","{'subsample': 1.0, 'n_estimators': 150, 'max_depth': 10, 'learning_rate': 0.2}",0.7420814479638009
outer_3_inner_4,"['original_glszm_ZonePercentage', 'original_glcm_Correlation', 'original_shape_Flatness', 'original_glszm_ZoneEntropy', 'original_glszm_SmallAreaEmphasis']","{'subsample': 0.8, 'n_estimators': 50, 'max_depth': 10, 'learning_rate': 0.1}",0.7828054298642535
outer_3_inner_5,"['original_shape_Flatness', 'original_glcm_Correlation', 'original_gldm_SmallDependenceEmphasis', 'original_glszm_SizeZoneNonUniformityNormalized', 'original_shape_Maximum2DDiameterColumn']","{'subsample': 0.9, 'n_estimators': 100, 'max_depth': 20, 'learning_rate': 0.1}",0.7
outer_4_inner_1,"['original_shape_Flatness', 'original_glcm_Correlation', 'original_glszm_SmallAreaEmphasis', 'original_shape_SurfaceVolumeRatio', 'original_gldm_SmallDependenceEmphasis']","{'subsample': 0.8, 'n_estimators': 50, 'max_depth': 10, 'learning_rate': 0.1}",0.5741626794258374
outer_4_inner_2,"['original_shape_Flatness', 'original_glcm_Correlation', 'original_glszm_ZonePercentage', 'original_glszm_SizeZoneNonUniformityNormalized', 'original_shape_SurfaceVolumeRatio']","{'subsample': 0.8, 'n_estimators': 50, 'max_depth': 20, 'learning_rate': 0.1}",0.59
outer_4_inner_3,"['original_gldm_SmallDependenceEmphasis', 'original_shape_Sphericity', 'original_glszm_SmallAreaLowGrayLevelEmphasis', 'original_glszm_ZonePercentage', 'original_shape_Flatness']","{'subsample': 1.0, 'n_estimators': 50, 'max_depth': 10, 'learning_rate': 0.1}",0.8883928571428571
outer_4_inner_4,"['original_glszm_ZonePercentage', 'original_glrlm_LongRunHighGrayLevelEmphasis', 'original_shape_Flatness', 'original_gldm_SmallDependenceEmphasis', 'original_glcm_Correlation']","{'subsample': 0.8, 'n_estimators': 100, 'max_depth': 30, 'learning_rate': 0.3}",0.4910714285714286
outer_4_inner_5,"['original_shape_Flatness', 'original_gldm_SmallDependenceEmphasis', 'original_glcm_Correlation', 'original_glszm_SizeZoneNonUniformityNormalized', 'original_shape_Elongation']","{'subsample': 1.0, 'n_estimators': 50, 'max_depth': 20, 'learning_rate': 0.1}",0.5909090909090909
outer_5_inner_1,"['original_gldm_SmallDependenceEmphasis', 'original_glcm_Correlation', 'original_shape_Flatness', 'original_glszm_SmallAreaEmphasis', 'original_shape_SurfaceVolumeRatio']","{'subsample': 0.8, 'n_estimators': 50, 'max_depth': 10, 'learning_rate': 0.1}",0.585
outer_5_inner_2,"['original_gldm_SmallDependenceEmphasis', 'original_glcm_Correlation', 'original_shape_Flatness', 'original_glszm_SizeZoneNonUniformity', 'original_glszm_ZonePercentage']","{'subsample': 0.9, 'n_estimators': 150, 'max_depth': 20, 'learning_rate': 0.1}",0.7013574660633485
outer_5_inner_3,"['original_gldm_SmallDependenceEmphasis', 'original_shape_Flatness', 'original_glszm_ZoneEntropy', 'original_glszm_SmallAreaEmphasis', 'original_shape_LeastAxisLength']","{'subsample': 0.9, 'n_estimators': 50, 'max_depth': 30, 'learning_rate': 0.1}",0.6696428571428572
outer_5_inner_4,"['original_gldm_SmallDependenceEmphasis', 'original_shape_Sphericity', 'original_glszm_ZoneEntropy', 'original_shape_Flatness', 'original_glszm_ZonePercentage']","{'subsample': 0.8, 'n_estimators': 50, 'max_depth': 10, 'learning_rate': 0.1}",0.8240740740740741
outer_5_inner_5,"['original_gldm_SmallDependenceEmphasis', 'original_gldm_DependenceEntropy', 'original_shape_Flatness', 'original_glszm_SizeZoneNonUniformityNormalized', 'original_glszm_ZoneEntropy']","{'subsample': 0.8, 'n_estimators': 50, 'max_depth': 20, 'learning_rate': 0.1}",0.6778846153846154
