Fold,Features,Classifier_Params,AUC
outer_1_inner_1,"Index(['original_shape_SurfaceVolumeRatio',
       'original_gldm_SmallDependenceEmphasis',
       'original_glrlm_ShortRunEmphasis', 'original_glszm_ZonePercentage',
       'original_ngtdm_Coarseness'],
      dtype='object')","{'l1_ratio': 0.5, 'C': 10}",0.7366071428571428
outer_1_inner_2,"Index(['original_shape_Elongation', 'original_shape_Flatness',
       'original_shape_SurfaceVolumeRatio',
       'original_gldm_SmallDependenceLowGrayLevelEmphasis',
       'original_glszm_ZoneEntropy'],
      dtype='object')","{'l1_ratio': 0.3, 'C': 0.1}",0.5475113122171946
outer_1_inner_3,"Index(['original_shape_SurfaceVolumeRatio',
       'original_gldm_SmallDependenceEmphasis',
       'original_glrlm_RunLengthNonUniformityNormalized',
       'original_glszm_ZonePercentage', 'original_ngtdm_Coarseness'],
      dtype='object')","{'l1_ratio': 0.5, 'C': 1}",0.8009259259259259
outer_1_inner_4,"Index(['original_shape_SurfaceVolumeRatio',
       'original_gldm_SmallDependenceEmphasis',
       'original_glrlm_RunLengthNonUniformityNormalized',
       'original_glrlm_ShortRunEmphasis', 'original_glszm_ZonePercentage'],
      dtype='object')","{'l1_ratio': 0.3, 'C': 0.1}",0.7644230769230769
outer_1_inner_5,"Index(['original_shape_SurfaceVolumeRatio',
       'original_glrlm_RunLengthNonUniformityNormalized',
       'original_glrlm_ShortRunEmphasis',
       'original_glszm_SizeZoneNonUniformityNormalized',
       'original_glszm_SmallAreaEmphasis'],
      dtype='object')","{'l1_ratio': 0.3, 'C': 0.1}",0.5343137254901961
outer_2_inner_1,"Index(['original_shape_SurfaceVolumeRatio',
       'original_gldm_LargeDependenceEmphasis',
       'original_gldm_SmallDependenceEmphasis',
       'original_glrlm_RunLengthNonUniformityNormalized',
       'original_glrlm_ShortRunEmphasis'],
      dtype='object')","{'l1_ratio': 0.3, 'C': 10}",0.6425339366515836
outer_2_inner_2,"Index(['original_shape_SurfaceVolumeRatio',
       'original_gldm_SmallDependenceEmphasis',
       'original_glszm_SizeZoneNonUniformityNormalized',
       'original_glszm_SmallAreaEmphasis', 'original_glszm_ZoneEntropy'],
      dtype='object')","{'l1_ratio': 1, 'C': 10}",0.7285067873303166
outer_2_inner_3,"Index(['original_shape_SurfaceVolumeRatio',
       'original_gldm_SmallDependenceEmphasis',
       'original_gldm_SmallDependenceLowGrayLevelEmphasis',
       'original_glszm_ZonePercentage', 'original_ngtdm_Coarseness'],
      dtype='object')","{'l1_ratio': 0.3, 'C': 0.1}",0.7407407407407407
outer_2_inner_4,"Index(['original_shape_SurfaceVolumeRatio',
       'original_gldm_SmallDependenceEmphasis',
       'original_glrlm_ShortRunEmphasis',
       'original_glszm_SizeZoneNonUniformityNormalized',
       'original_glszm_SmallAreaEmphasis'],
      dtype='object')","{'l1_ratio': 0.3, 'C': 1}",0.6574074074074074
outer_2_inner_5,"Index(['original_shape_SurfaceVolumeRatio',
       'original_gldm_SmallDependenceEmphasis',
       'original_glrlm_RunLengthNonUniformityNormalized',
       'original_glrlm_ShortRunEmphasis', 'original_glszm_ZonePercentage'],
      dtype='object')","{'l1_ratio': 0.3, 'C': 1}",0.7736842105263159
outer_3_inner_1,"Index(['original_shape_SurfaceVolumeRatio',
       'original_gldm_LargeDependenceLowGrayLevelEmphasis',
       'original_gldm_SmallDependenceEmphasis',
       'original_glszm_ZonePercentage', 'original_ngtdm_Coarseness'],
      dtype='object')","{'l1_ratio': 0.3, 'C': 0.1}",0.775
outer_3_inner_2,"Index(['original_shape_SurfaceVolumeRatio',
       'original_gldm_SmallDependenceEmphasis',
       'original_glrlm_RunLengthNonUniformityNormalized',
       'original_glrlm_ShortRunEmphasis', 'original_glszm_SmallAreaEmphasis'],
      dtype='object')","{'l1_ratio': 1, 'C': 1}",0.6349206349206349
outer_3_inner_3,"Index(['original_shape_SurfaceVolumeRatio',
       'original_gldm_SmallDependenceEmphasis',
       'original_glrlm_ShortRunEmphasis', 'original_glszm_ZoneEntropy',
       'original_glszm_ZonePercentage'],
      dtype='object')","{'l1_ratio': 0.3, 'C': 10}",0.6380090497737557
outer_3_inner_4,"Index(['original_shape_SurfaceVolumeRatio',
       'original_gldm_SmallDependenceEmphasis',
       'original_glrlm_ShortRunEmphasis', 'original_glszm_ZoneEntropy',
       'original_ngtdm_Coarseness'],
      dtype='object')","{'l1_ratio': 0.3, 'C': 0.1}",0.7285067873303167
outer_3_inner_5,"Index(['original_shape_SurfaceVolumeRatio',
       'original_gldm_LargeDependenceEmphasis',
       'original_glrlm_RunLengthNonUniformityNormalized',
       'original_glrlm_RunPercentage', 'original_glrlm_ShortRunEmphasis'],
      dtype='object')","{'l1_ratio': 1, 'C': 1}",0.6611111111111111
outer_4_inner_1,"Index(['original_shape_SurfaceVolumeRatio',
       'original_gldm_SmallDependenceLowGrayLevelEmphasis',
       'original_glszm_SmallAreaEmphasis', 'original_glszm_ZoneEntropy',
       'original_ngtdm_Coarseness'],
      dtype='object')","{'l1_ratio': 0.3, 'C': 1}",0.7081339712918661
outer_4_inner_2,"Index(['original_shape_SurfaceVolumeRatio',
       'original_gldm_SmallDependenceEmphasis',
       'original_glrlm_RunLengthNonUniformityNormalized',
       'original_glrlm_ShortRunEmphasis', 'original_glszm_ZonePercentage'],
      dtype='object')","{'l1_ratio': 1, 'C': 1}",0.755
outer_4_inner_3,"Index(['original_shape_SurfaceVolumeRatio',
       'original_gldm_SmallDependenceEmphasis',
       'original_glszm_SmallAreaEmphasis', 'original_glszm_ZonePercentage',
       'original_ngtdm_Coarseness'],
      dtype='object')","{'l1_ratio': 0.3, 'C': 1}",0.8303571428571429
