Fold,Features,Classifier_Params,AUC
outer_1_inner_1,"['original_shape_SurfaceVolumeRatio', 'original_glszm_GrayLevelNonUniformityNormalized', 'original_ngtdm_Coarseness', 'original_glrlm_ShortRunEmphasis', 'original_glszm_SmallAreaEmphasis']","{'l1_ratio': 0.3, 'C': 1}",0.7857142857142858
outer_1_inner_2,"['original_shape_SurfaceVolumeRatio', 'original_glcm_Correlation', 'original_glszm_SmallAreaEmphasis', 'original_shape_Flatness', 'original_glszm_ZoneEntropy']","{'l1_ratio': 0.3, 'C': 10}",0.6787330316742082
outer_1_inner_3,"['original_shape_SurfaceVolumeRatio', 'original_firstorder_Skewness', 'original_ngtdm_Coarseness', 'original_firstorder_RootMeanSquared', 'original_glszm_SmallAreaEmphasis']","{'l1_ratio': 0.3, 'C': 10}",0.75
outer_1_inner_4,"['original_shape_SurfaceVolumeRatio', 'original_glszm_SizeZoneNonUniformityNormalized', 'original_gldm_SmallDependenceLowGrayLevelEmphasis', 'original_firstorder_RootMeanSquared', 'original_glszm_SmallAreaEmphasis']","{'l1_ratio': 0.3, 'C': 0.1}",0.7692307692307692
outer_1_inner_5,"['original_shape_SurfaceVolumeRatio', 'original_glszm_HighGrayLevelZoneEmphasis', 'original_glrlm_LongRunEmphasis', 'original_firstorder_90Percentile', 'original_glszm_SmallAreaEmphasis']","{'l1_ratio': 1, 'C': 1}",0.5686274509803921
outer_2_inner_1,"['original_shape_SurfaceVolumeRatio', 'original_firstorder_Range', 'original_gldm_LargeDependenceEmphasis', 'original_shape_Flatness', 'original_glszm_SmallAreaEmphasis']","{'l1_ratio': 0.3, 'C': 0.1}",0.6561085972850679
outer_2_inner_2,"['original_shape_SurfaceVolumeRatio', 'original_glszm_SizeZoneNonUniformityNormalized', 'original_glszm_ZoneEntropy', 'original_shape_Flatness', 'original_glszm_SmallAreaEmphasis']","{'l1_ratio': 0.3, 'C': 10}",0.6923076923076923
outer_2_inner_3,"['original_shape_SurfaceVolumeRatio', 'original_firstorder_RootMeanSquared', 'original_gldm_LargeDependenceLowGrayLevelEmphasis', 'original_ngtdm_Coarseness', 'original_gldm_LargeDependenceEmphasis']","{'l1_ratio': 0.5, 'C': 1}",0.7407407407407407
outer_2_inner_4,"['original_shape_SurfaceVolumeRatio', 'original_glcm_SumAverage', 'original_glszm_SmallAreaEmphasis', 'original_ngtdm_Coarseness', 'original_glszm_SizeZoneNonUniformityNormalized']","{'l1_ratio': 0.5, 'C': 0.1}",0.6435185185185185
outer_2_inner_5,"['original_shape_SurfaceVolumeRatio', 'original_glcm_JointAverage', 'original_gldm_LargeDependenceEmphasis', 'original_firstorder_90Percentile', 'original_ngtdm_Coarseness']","{'l1_ratio': 0.3, 'C': 0.1}",0.6736842105263158
outer_3_inner_1,"['original_shape_SurfaceVolumeRatio', 'original_glrlm_HighGrayLevelRunEmphasis', 'original_shape_Flatness', 'original_ngtdm_Coarseness', 'original_gldm_LargeDependenceLowGrayLevelEmphasis']","{'l1_ratio': 0.5, 'C': 0.1}",0.76
outer_3_inner_2,"['original_shape_SurfaceVolumeRatio', 'original_glszm_HighGrayLevelZoneEmphasis', 'original_gldm_LargeDependenceEmphasis', 'original_glszm_SmallAreaEmphasis', 'original_ngtdm_Coarseness']","{'l1_ratio': 0.5, 'C': 10}",0.6666666666666667
outer_3_inner_3,"['original_shape_SurfaceVolumeRatio', 'original_firstorder_Skewness', 'original_firstorder_RootMeanSquared', 'original_ngtdm_Coarseness', 'original_glszm_SizeZoneNonUniformityNormalized']","{'l1_ratio': 0.5, 'C': 0.1}",0.6742081447963801
outer_3_inner_4,"['original_shape_SurfaceVolumeRatio', 'original_glcm_Correlation', 'original_glszm_SmallAreaEmphasis', 'original_ngtdm_Coarseness', 'original_glszm_ZoneEntropy']","{'l1_ratio': 0.3, 'C': 10}",0.8009049773755657
outer_3_inner_5,"['original_shape_SurfaceVolumeRatio', 'original_glszm_SmallAreaHighGrayLevelEmphasis', 'original_gldm_LargeDependenceEmphasis', 'original_firstorder_90Percentile', 'original_glrlm_ShortRunEmphasis']","{'l1_ratio': 0.5, 'C': 0.1}",0.6222222222222221
outer_4_inner_1,"['original_shape_SurfaceVolumeRatio', 'original_glszm_SmallAreaHighGrayLevelEmphasis', 'original_shape_Flatness', 'original_glszm_SmallAreaEmphasis', 'original_ngtdm_Coarseness']","{'l1_ratio': 1, 'C': 1}",0.6794258373205742
outer_4_inner_2,"['original_shape_SurfaceVolumeRatio', 'original_glrlm_HighGrayLevelRunEmphasis', 'original_firstorder_90Percentile', 'original_gldm_LargeDependenceEmphasis', 'original_shape_Flatness']","{'l1_ratio': 1, 'C': 1}",0.6949999999999998
outer_4_inner_3,"['original_shape_SurfaceVolumeRatio', 'original_glcm_SumAverage', 'original_ngtdm_Coarseness', 'original_firstorder_RootMeanSquared', 'original_glszm_SmallAreaEmphasis']","{'l1_ratio': 0.3, 'C': 1}",0.8482142857142857
outer_4_inner_4,"['original_shape_SurfaceVolumeRatio', 'original_glcm_Correlation', 'original_glszm_SmallAreaEmphasis', 'original_ngtdm_Coarseness', 'original_gldm_SmallDependenceEmphasis']","{'l1_ratio': 0.3, 'C': 10}",0.75
outer_4_inner_5,"['original_glrlm_ShortRunEmphasis', 'original_glszm_SizeZoneNonUniformity', 'original_shape_SurfaceVolumeRatio', 'original_glszm_SmallAreaEmphasis', 'original_glrlm_RunLengthNonUniformityNormalized']","{'l1_ratio': 0.3, 'C': 0.1}",0.6161616161616161
outer_5_inner_1,"['original_shape_SurfaceVolumeRatio', 'original_glcm_JointAverage', 'original_shape_Flatness', 'original_glszm_SmallAreaEmphasis', 'original_gldm_LargeDependenceEmphasis']","{'l1_ratio': 0.3, 'C': 0.1}",0.6199999999999999
outer_5_inner_2,"['original_shape_SurfaceVolumeRatio', 'original_glrlm_HighGrayLevelRunEmphasis', 'original_ngtdm_Coarseness', 'original_firstorder_RootMeanSquared', 'original_glszm_SmallAreaEmphasis']","{'l1_ratio': 0.3, 'C': 1}",0.8461538461538461
outer_5_inner_3,"['original_shape_SurfaceVolumeRatio', 'original_glrlm_HighGrayLevelRunEmphasis', 'original_gldm_LargeDependenceEmphasis', 'original_shape_Flatness', 'original_glszm_SmallAreaEmphasis']","{'l1_ratio': 0.3, 'C': 0.1}",0.5848214285714286
outer_5_inner_4,"['original_shape_SurfaceVolumeRatio', 'original_glcm_Correlation', 'original_glszm_SmallAreaEmphasis', 'original_ngtdm_Coarseness', 'original_glrlm_ShortRunEmphasis']","{'l1_ratio': 0.3, 'C': 1}",0.8287037037037037
