Fold,Features,Classifier_Params,AUC
outer_1_inner_1,"['original_shape_SurfaceVolumeRatio', 'original_glszm_GrayLevelNonUniformityNormalized', 'original_ngtdm_Coarseness', 'original_glrlm_ShortRunEmphasis', 'original_glszm_SmallAreaEmphasis']","{'n_estimators': 200, 'max_depth': 10}",0.8303571428571429
outer_1_inner_2,"['original_shape_SurfaceVolumeRatio', 'original_glcm_Correlation', 'original_glszm_SmallAreaEmphasis', 'original_shape_Flatness', 'original_glszm_ZoneEntropy']","{'n_estimators': 100, 'max_depth': 10}",0.583710407239819
outer_1_inner_3,"['original_shape_SurfaceVolumeRatio', 'original_firstorder_Skewness', 'original_ngtdm_Coarseness', 'original_firstorder_RootMeanSquared', 'original_glszm_SmallAreaEmphasis']","{'n_estimators': 100, 'max_depth': 10}",0.5694444444444444
outer_1_inner_4,"['original_shape_SurfaceVolumeRatio', 'original_glszm_SizeZoneNonUniformityNormalized', 'original_gldm_SmallDependenceLowGrayLevelEmphasis', 'original_firstorder_RootMeanSquared', 'original_glszm_SmallAreaEmphasis']","{'n_estimators': 50, 'max_depth': 10}",0.7067307692307693
outer_1_inner_5,"['original_shape_SurfaceVolumeRatio', 'original_glszm_HighGrayLevelZoneEmphasis', 'original_glrlm_LongRunEmphasis', 'original_firstorder_90Percentile', 'original_glszm_SmallAreaEmphasis']","{'n_estimators': 100, 'max_depth': 20}",0.4779411764705882
outer_2_inner_1,"['original_shape_SurfaceVolumeRatio', 'original_firstorder_Range', 'original_gldm_LargeDependenceEmphasis', 'original_shape_Flatness', 'original_glszm_SmallAreaEmphasis']","{'n_estimators': 200, 'max_depth': 10}",0.5294117647058824
outer_2_inner_2,"['original_shape_SurfaceVolumeRatio', 'original_glszm_SizeZoneNonUniformityNormalized', 'original_glszm_ZoneEntropy', 'original_shape_Flatness', 'original_glszm_SmallAreaEmphasis']","{'n_estimators': 100, 'max_depth': 20}",0.6742081447963801
outer_2_inner_3,"['original_shape_SurfaceVolumeRatio', 'original_firstorder_RootMeanSquared', 'original_gldm_LargeDependenceLowGrayLevelEmphasis', 'original_ngtdm_Coarseness', 'original_gldm_LargeDependenceEmphasis']","{'n_estimators': 100, 'max_depth': 20}",0.7337962962962963
outer_2_inner_4,"['original_shape_SurfaceVolumeRatio', 'original_glcm_SumAverage', 'original_glszm_SmallAreaEmphasis', 'original_ngtdm_Coarseness', 'original_glszm_SizeZoneNonUniformityNormalized']","{'n_estimators': 100, 'max_depth': 10}",0.736111111111111
outer_2_inner_5,"['original_shape_SurfaceVolumeRatio', 'original_glcm_JointAverage', 'original_gldm_LargeDependenceEmphasis', 'original_firstorder_90Percentile', 'original_ngtdm_Coarseness']","{'n_estimators': 200, 'max_depth': 20}",0.8078947368421053
