Fold,Features,Classifier_Params,AUC
outer_1_inner_1,"['original_shape_SurfaceVolumeRatio', 'original_glszm_GrayLevelNonUniformityNormalized', 'original_ngtdm_Coarseness', 'original_glrlm_ShortRunEmphasis', 'original_glszm_SmallAreaEmphasis']","{'subsample': 0.8, 'n_estimators': 100, 'max_depth': 10, 'learning_rate': 0.1}",0.8705357142857143
outer_1_inner_2,"['original_shape_SurfaceVolumeRatio', 'original_glcm_Correlation', 'original_glszm_SmallAreaEmphasis', 'original_shape_Flatness', 'original_glszm_ZoneEntropy']","{'subsample': 0.9, 'n_estimators': 50, 'max_depth': 30, 'learning_rate': 0.1}",0.5294117647058824
outer_1_inner_3,"['original_shape_SurfaceVolumeRatio', 'original_firstorder_Skewness', 'original_ngtdm_Coarseness', 'original_firstorder_RootMeanSquared', 'original_glszm_SmallAreaEmphasis']","{'subsample': 0.9, 'n_estimators': 150, 'max_depth': 30, 'learning_rate': 0.3}",0.48611111111111116
outer_1_inner_4,"['original_shape_SurfaceVolumeRatio', 'original_glszm_SizeZoneNonUniformityNormalized', 'original_gldm_SmallDependenceLowGrayLevelEmphasis', 'original_firstorder_RootMeanSquared', 'original_glszm_SmallAreaEmphasis']","{'subsample': 1.0, 'n_estimators': 50, 'max_depth': 10, 'learning_rate': 0.1}",0.7259615384615385
outer_1_inner_5,"['original_shape_SurfaceVolumeRatio', 'original_glszm_HighGrayLevelZoneEmphasis', 'original_glrlm_LongRunEmphasis', 'original_firstorder_90Percentile', 'original_glszm_SmallAreaEmphasis']","{'subsample': 0.9, 'n_estimators': 50, 'max_depth': 20, 'learning_rate': 0.1}",0.4607843137254902
outer_2_inner_1,"['original_shape_SurfaceVolumeRatio', 'original_firstorder_Range', 'original_gldm_LargeDependenceEmphasis', 'original_shape_Flatness', 'original_glszm_SmallAreaEmphasis']","{'subsample': 0.9, 'n_estimators': 50, 'max_depth': 30, 'learning_rate': 0.1}",0.5203619909502262
outer_2_inner_2,"['original_shape_SurfaceVolumeRatio', 'original_glszm_SizeZoneNonUniformityNormalized', 'original_glszm_ZoneEntropy', 'original_shape_Flatness', 'original_glszm_SmallAreaEmphasis']","{'subsample': 0.8, 'n_estimators': 50, 'max_depth': 30, 'learning_rate': 0.1}",0.6787330316742082
outer_2_inner_3,"['original_shape_SurfaceVolumeRatio', 'original_firstorder_RootMeanSquared', 'original_gldm_LargeDependenceLowGrayLevelEmphasis', 'original_ngtdm_Coarseness', 'original_gldm_LargeDependenceEmphasis']","{'subsample': 1.0, 'n_estimators': 50, 'max_depth': 20, 'learning_rate': 0.3}",0.6527777777777778
outer_2_inner_4,"['original_shape_SurfaceVolumeRatio', 'original_glcm_SumAverage', 'original_glszm_SmallAreaEmphasis', 'original_ngtdm_Coarseness', 'original_glszm_SizeZoneNonUniformityNormalized']","{'subsample': 0.8, 'n_estimators': 150, 'max_depth': 10, 'learning_rate': 0.1}",0.7546296296296297
outer_2_inner_5,"['original_shape_SurfaceVolumeRatio', 'original_glcm_JointAverage', 'original_gldm_LargeDependenceEmphasis', 'original_firstorder_90Percentile', 'original_ngtdm_Coarseness']","{'subsample': 1.0, 'n_estimators': 100, 'max_depth': 30, 'learning_rate': 0.3}",0.6105263157894736
outer_3_inner_1,"['original_shape_SurfaceVolumeRatio', 'original_glrlm_HighGrayLevelRunEmphasis', 'original_shape_Flatness', 'original_ngtdm_Coarseness', 'original_gldm_LargeDependenceLowGrayLevelEmphasis']","{'subsample': 0.9, 'n_estimators': 100, 'max_depth': 20, 'learning_rate': 0.3}",0.675
outer_3_inner_2,"['original_shape_SurfaceVolumeRatio', 'original_glszm_HighGrayLevelZoneEmphasis', 'original_gldm_LargeDependenceEmphasis', 'original_glszm_SmallAreaEmphasis', 'original_ngtdm_Coarseness']","{'subsample': 0.9, 'n_estimators': 150, 'max_depth': 10, 'learning_rate': 0.3}",0.5978835978835979
outer_3_inner_3,"['original_shape_SurfaceVolumeRatio', 'original_firstorder_Skewness', 'original_firstorder_RootMeanSquared', 'original_ngtdm_Coarseness', 'original_glszm_SizeZoneNonUniformityNormalized']","{'subsample': 0.8, 'n_estimators': 50, 'max_depth': 20, 'learning_rate': 0.2}",0.6696832579185521
outer_3_inner_4,"['original_shape_SurfaceVolumeRatio', 'original_glcm_Correlation', 'original_glszm_SmallAreaEmphasis', 'original_ngtdm_Coarseness', 'original_glszm_ZoneEntropy']","{'subsample': 0.9, 'n_estimators': 50, 'max_depth': 10, 'learning_rate': 0.1}",0.660633484162896
outer_3_inner_5,"['original_shape_SurfaceVolumeRatio', 'original_glszm_SmallAreaHighGrayLevelEmphasis', 'original_gldm_LargeDependenceEmphasis', 'original_firstorder_90Percentile', 'original_glrlm_ShortRunEmphasis']","{'subsample': 0.9, 'n_estimators': 50, 'max_depth': 10, 'learning_rate': 0.1}",0.6388888888888888
outer_4_inner_1,"['original_shape_SurfaceVolumeRatio', 'original_glszm_SmallAreaHighGrayLevelEmphasis', 'original_shape_Flatness', 'original_glszm_SmallAreaEmphasis', 'original_ngtdm_Coarseness']","{'subsample': 0.8, 'n_estimators': 150, 'max_depth': 20, 'learning_rate': 0.1}",0.6076555023923444
outer_4_inner_2,"['original_shape_SurfaceVolumeRatio', 'original_glrlm_HighGrayLevelRunEmphasis', 'original_firstorder_90Percentile', 'original_gldm_LargeDependenceEmphasis', 'original_shape_Flatness']","{'subsample': 0.9, 'n_estimators': 50, 'max_depth': 10, 'learning_rate': 0.1}",0.6599999999999999
outer_4_inner_3,"['original_shape_SurfaceVolumeRatio', 'original_glcm_SumAverage', 'original_ngtdm_Coarseness', 'original_firstorder_RootMeanSquared', 'original_glszm_SmallAreaEmphasis']","{'subsample': 1.0, 'n_estimators': 150, 'max_depth': 20, 'learning_rate': 0.1}",0.8125
outer_4_inner_4,"['original_shape_SurfaceVolumeRatio', 'original_glcm_Correlation', 'original_glszm_SmallAreaEmphasis', 'original_ngtdm_Coarseness', 'original_gldm_SmallDependenceEmphasis']","{'subsample': 0.8, 'n_estimators': 100, 'max_depth': 20, 'learning_rate': 0.1}",0.7142857142857143
outer_4_inner_5,"['original_glrlm_ShortRunEmphasis', 'original_glszm_SizeZoneNonUniformity', 'original_shape_SurfaceVolumeRatio', 'original_glszm_SmallAreaEmphasis', 'original_glrlm_RunLengthNonUniformityNormalized']","{'subsample': 0.9, 'n_estimators': 50, 'max_depth': 10, 'learning_rate': 0.1}",0.6565656565656566
outer_5_inner_1,"['original_shape_SurfaceVolumeRatio', 'original_glcm_JointAverage', 'original_shape_Flatness', 'original_glszm_SmallAreaEmphasis', 'original_gldm_LargeDependenceEmphasis']","{'subsample': 0.8, 'n_estimators': 50, 'max_depth': 10, 'learning_rate': 0.1}",0.43999999999999995
outer_5_inner_2,"['original_shape_SurfaceVolumeRatio', 'original_glrlm_HighGrayLevelRunEmphasis', 'original_ngtdm_Coarseness', 'original_firstorder_RootMeanSquared', 'original_glszm_SmallAreaEmphasis']","{'subsample': 0.9, 'n_estimators': 50, 'max_depth': 20, 'learning_rate': 0.1}",0.6470588235294117
outer_5_inner_3,"['original_shape_SurfaceVolumeRatio', 'original_glrlm_HighGrayLevelRunEmphasis', 'original_gldm_LargeDependenceEmphasis', 'original_shape_Flatness', 'original_glszm_SmallAreaEmphasis']","{'subsample': 1.0, 'n_estimators': 100, 'max_depth': 20, 'learning_rate': 0.1}",0.625
outer_5_inner_4,"['original_shape_SurfaceVolumeRatio', 'original_glcm_Correlation', 'original_glszm_SmallAreaEmphasis', 'original_ngtdm_Coarseness', 'original_glrlm_ShortRunEmphasis']","{'subsample': 0.8, 'n_estimators': 50, 'max_depth': 30, 'learning_rate': 0.1}",0.7037037037037036
outer_5_inner_5,"['original_shape_SurfaceVolumeRatio', 'original_glcm_Autocorrelation', 'original_gldm_LargeDependenceEmphasis', 'original_ngtdm_Coarseness', 'original_glszm_SmallAreaEmphasis']","{'subsample': 0.9, 'n_estimators': 50, 'max_depth': 30, 'learning_rate': 0.1}",0.6490384615384616
