Fold,Features,Classifier_Params,AUC
outer_1_inner_1,"['original_shape_SurfaceVolumeRatio', 'original_glszm_GrayLevelNonUniformityNormalized', 'original_shape_Flatness', 'original_glszm_ZonePercentage', 'original_gldm_SmallDependenceEmphasis']","{'l1_ratio': 0.3, 'C': 0.1}",0.8080357142857142
outer_1_inner_2,"['original_shape_Flatness', 'original_glcm_Correlation', 'original_shape_Elongation', 'original_glszm_SmallAreaEmphasis', 'original_shape_SurfaceVolumeRatio']","{'l1_ratio': 0.3, 'C': 1}",0.6063348416289593
outer_1_inner_3,"['original_shape_Flatness', 'original_firstorder_Range', 'original_shape_SurfaceVolumeRatio', 'original_glszm_SizeZoneNonUniformityNormalized', 'original_glcm_Correlation']","{'l1_ratio': 0.3, 'C': 0.1}",0.7268518518518519
outer_1_inner_4,"['original_shape_Flatness', 'original_glcm_Correlation', 'original_glszm_SmallAreaEmphasis', 'original_shape_SurfaceVolumeRatio', 'original_shape_Elongation']","{'l1_ratio': 0.3, 'C': 10}",0.7548076923076923
outer_1_inner_5,"['original_glszm_SizeZoneNonUniformityNormalized', 'original_glszm_LargeAreaHighGrayLevelEmphasis', 'original_shape_Flatness', 'original_glszm_SmallAreaEmphasis', 'original_gldm_LargeDependenceLowGrayLevelEmphasis']","{'l1_ratio': 0.3, 'C': 0.1}",0.6274509803921569
outer_2_inner_1,"['original_shape_Flatness', 'original_gldm_LowGrayLevelEmphasis', 'original_glszm_ZonePercentage', 'original_glcm_Correlation', 'original_shape_Elongation']","{'l1_ratio': 0.3, 'C': 10}",0.579185520361991
outer_2_inner_2,"['original_shape_Flatness', 'original_glcm_Correlation', 'original_glszm_SmallAreaEmphasis', 'original_shape_SurfaceVolumeRatio', 'original_shape_Elongation']","{'l1_ratio': 0.3, 'C': 1}",0.7149321266968326
outer_2_inner_3,"['original_shape_Flatness', 'original_firstorder_RootMeanSquared', 'original_shape_SurfaceVolumeRatio', 'original_glrlm_LongRunLowGrayLevelEmphasis', 'original_shape_Elongation']","{'l1_ratio': 1, 'C': 1}",0.6527777777777777
outer_2_inner_4,"['original_glszm_SizeZoneNonUniformityNormalized', 'original_glszm_LargeAreaHighGrayLevelEmphasis', 'original_ngtdm_Coarseness', 'original_glszm_SmallAreaEmphasis', 'original_shape_Flatness']","{'l1_ratio': 0.5, 'C': 1}",0.7361111111111112
outer_2_inner_5,"['original_shape_SurfaceVolumeRatio', 'original_glrlm_LongRunLowGrayLevelEmphasis', 'original_shape_Flatness', 'original_glcm_Correlation', 'original_glszm_ZonePercentage']","{'l1_ratio': 0.3, 'C': 1}",0.8421052631578948
