Fold,Features,Classifier_Params,AUC
outer_1_inner_1,"['original_shape_SurfaceVolumeRatio', 'original_glszm_GrayLevelNonUniformityNormalized', 'original_shape_Flatness', 'original_glszm_ZonePercentage', 'original_gldm_SmallDependenceEmphasis']","{'n_estimators': 100, 'max_depth': 20}",0.8080357142857142
outer_1_inner_2,"['original_shape_Flatness', 'original_glcm_Correlation', 'original_shape_Elongation', 'original_glszm_SmallAreaEmphasis', 'original_shape_SurfaceVolumeRatio']","{'n_estimators': 200, 'max_depth': 10}",0.6380090497737557
outer_1_inner_3,"['original_shape_Flatness', 'original_firstorder_Range', 'original_shape_SurfaceVolumeRatio', 'original_glszm_SizeZoneNonUniformityNormalized', 'original_glcm_Correlation']","{'n_estimators': 200, 'max_depth': 20}",0.6458333333333333
outer_1_inner_4,"['original_shape_Flatness', 'original_glcm_Correlation', 'original_glszm_SmallAreaEmphasis', 'original_shape_SurfaceVolumeRatio', 'original_shape_Elongation']","{'n_estimators': 200, 'max_depth': 10}",0.6730769230769231
outer_1_inner_5,"['original_glszm_SizeZoneNonUniformityNormalized', 'original_glszm_LargeAreaHighGrayLevelEmphasis', 'original_shape_Flatness', 'original_glszm_SmallAreaEmphasis', 'original_gldm_LargeDependenceLowGrayLevelEmphasis']","{'n_estimators': 200, 'max_depth': 20}",0.6274509803921569
outer_2_inner_1,"['original_shape_Flatness', 'original_gldm_LowGrayLevelEmphasis', 'original_glszm_ZonePercentage', 'original_glcm_Correlation', 'original_shape_Elongation']","{'n_estimators': 200, 'max_depth': 10}",0.5927601809954751
outer_2_inner_2,"['original_shape_Flatness', 'original_glcm_Correlation', 'original_glszm_SmallAreaEmphasis', 'original_shape_SurfaceVolumeRatio', 'original_shape_Elongation']","{'n_estimators': 200, 'max_depth': 10}",0.6742081447963801
outer_2_inner_3,"['original_shape_Flatness', 'original_firstorder_RootMeanSquared', 'original_shape_SurfaceVolumeRatio', 'original_glrlm_LongRunLowGrayLevelEmphasis', 'original_shape_Elongation']","{'n_estimators': 50, 'max_depth': 10}",0.7268518518518519
outer_2_inner_4,"['original_glszm_SizeZoneNonUniformityNormalized', 'original_glszm_LargeAreaHighGrayLevelEmphasis', 'original_ngtdm_Coarseness', 'original_glszm_SmallAreaEmphasis', 'original_shape_Flatness']","{'n_estimators': 200, 'max_depth': 20}",0.7546296296296297
outer_2_inner_5,"['original_shape_SurfaceVolumeRatio', 'original_glrlm_LongRunLowGrayLevelEmphasis', 'original_shape_Flatness', 'original_glcm_Correlation', 'original_glszm_ZonePercentage']","{'n_estimators': 200, 'max_depth': 10}",0.8315789473684211
outer_3_inner_1,"['original_shape_Flatness', 'original_gldm_LargeDependenceHighGrayLevelEmphasis', 'original_glszm_ZonePercentage', 'original_shape_Elongation', 'original_shape_SurfaceVolumeRatio']","{'n_estimators': 100, 'max_depth': 10}",0.645
outer_3_inner_2,"['original_shape_Flatness', 'original_glcm_Correlation', 'original_glszm_SmallAreaEmphasis', 'original_shape_SurfaceVolumeRatio', 'original_gldm_LargeDependenceLowGrayLevelEmphasis']","{'n_estimators': 50, 'max_depth': 10}",0.5291005291005291
outer_3_inner_3,"['original_shape_Flatness', 'original_glcm_Correlation', 'original_glszm_SmallAreaEmphasis', 'original_shape_SurfaceVolumeRatio', 'original_shape_Elongation']","{'n_estimators': 200, 'max_depth': 10}",0.583710407239819
outer_3_inner_4,"['original_shape_SurfaceVolumeRatio', 'original_firstorder_Skewness', 'original_glcm_Correlation', 'original_shape_Flatness', 'original_glszm_SmallAreaEmphasis']","{'n_estimators': 200, 'max_depth': 10}",0.8868778280542986
outer_3_inner_5,"['original_shape_Flatness', 'original_firstorder_Range', 'original_glrlm_LongRunEmphasis', 'original_shape_SurfaceVolumeRatio', 'original_glszm_SizeZoneNonUniformityNormalized']","{'n_estimators': 100, 'max_depth': 10}",0.6055555555555556
outer_4_inner_1,"['original_shape_Flatness', 'original_glcm_Correlation', 'original_glszm_SmallAreaEmphasis', 'original_shape_SurfaceVolumeRatio', 'original_shape_Elongation']","{'n_estimators': 200, 'max_depth': 10}",0.5334928229665071
outer_4_inner_2,"['original_shape_Flatness', 'original_glcm_Correlation', 'original_glszm_SizeZoneNonUniformityNormalized', 'original_shape_SurfaceVolumeRatio', 'original_shape_Elongation']","{'n_estimators': 200, 'max_depth': 20}",0.6425000000000001
outer_4_inner_3,"['original_shape_Flatness', 'original_glcm_Correlation', 'original_glszm_SmallAreaEmphasis', 'original_shape_SurfaceVolumeRatio', 'original_ngtdm_Coarseness']","{'n_estimators': 50, 'max_depth': 20}",0.7857142857142857
outer_4_inner_4,"['original_shape_SurfaceVolumeRatio', 'original_glrlm_LongRunLowGrayLevelEmphasis', 'original_glcm_Correlation', 'original_shape_Flatness', 'original_glszm_SizeZoneNonUniformityNormalized']","{'n_estimators': 100, 'max_depth': 10}",0.6160714285714286
outer_4_inner_5,"['original_shape_Flatness', 'original_glcm_Correlation', 'original_glszm_SmallAreaEmphasis', 'original_shape_Elongation', 'original_glszm_SizeZoneNonUniformityNormalized']","{'n_estimators': 50, 'max_depth': 20}",0.5833333333333334
outer_5_inner_1,"['original_shape_Flatness', 'original_glcm_Correlation', 'original_glszm_SmallAreaEmphasis', 'original_shape_SurfaceVolumeRatio', 'original_glszm_SizeZoneNonUniformityNormalized']","{'n_estimators': 200, 'max_depth': 20}",0.545
outer_5_inner_2,"['original_shape_Flatness', 'original_glcm_Correlation', 'original_glszm_SmallAreaEmphasis', 'original_shape_SurfaceVolumeRatio', 'original_glszm_SizeZoneNonUniformityNormalized']","{'n_estimators': 200, 'max_depth': 20}",0.7239819004524888
outer_5_inner_3,"['original_shape_Flatness', 'original_glcm_Correlation', 'original_glszm_SmallAreaEmphasis', 'original_shape_SurfaceVolumeRatio', 'original_shape_Elongation']","{'n_estimators': 200, 'max_depth': 10}",0.640625
outer_5_inner_4,"['original_shape_Flatness', 'original_glcm_Correlation', 'original_glszm_SmallAreaEmphasis', 'original_shape_SurfaceVolumeRatio', 'original_shape_Elongation']","{'n_estimators': 50, 'max_depth': 10}",0.8194444444444444
outer_5_inner_5,"['original_shape_Flatness', 'original_glcm_Correlation', 'original_glszm_SmallAreaEmphasis', 'original_shape_SurfaceVolumeRatio', 'original_shape_Elongation']","{'n_estimators': 200, 'max_depth': 10}",0.6730769230769231
