Fold,Features,Classifier_Params,AUC
outer_1_inner_1,"Index(['original_shape_Flatness', 'original_shape_SurfaceVolumeRatio',
       'original_gldm_DependenceNonUniformityNormalized',
       'original_gldm_SmallDependenceEmphasis',
       'original_glszm_ZonePercentage'],
      dtype='object')","{'subsample': 0.8, 'n_estimators': 100, 'max_depth': 20, 'learning_rate': 0.3}",0.6696428571428572
outer_1_inner_2,"Index(['original_shape_Elongation', 'original_shape_Flatness',
       'original_shape_SurfaceVolumeRatio',
       'original_gldm_SmallDependenceLowGrayLevelEmphasis',
       'original_glrlm_ShortRunEmphasis'],
      dtype='object')","{'subsample': 0.9, 'n_estimators': 50, 'max_depth': 30, 'learning_rate': 0.1}",0.5339366515837104
outer_1_inner_3,"Index(['original_shape_Flatness', 'original_shape_SurfaceVolumeRatio',
       'original_gldm_SmallDependenceEmphasis',
       'original_glszm_SizeZoneNonUniformityNormalized',
       'original_glszm_ZonePercentage'],
      dtype='object')","{'subsample': 0.9, 'n_estimators': 50, 'max_depth': 20, 'learning_rate': 0.1}",0.6296296296296297
outer_1_inner_4,"Index(['original_shape_Elongation', 'original_shape_Flatness',
       'original_shape_SurfaceVolumeRatio',
       'original_gldm_SmallDependenceEmphasis',
       'original_glszm_ZonePercentage'],
      dtype='object')","{'subsample': 0.8, 'n_estimators': 50, 'max_depth': 20, 'learning_rate': 0.3}",0.5
outer_1_inner_5,"Index(['original_shape_Flatness',
       'original_gldm_LargeDependenceLowGrayLevelEmphasis',
       'original_glrlm_LongRunLowGrayLevelEmphasis',
       'original_glszm_SizeZoneNonUniformityNormalized',
       'original_glszm_SmallAreaEmphasis'],
      dtype='object')","{'subsample': 0.9, 'n_estimators': 150, 'max_depth': 10, 'learning_rate': 0.1}",0.5882352941176471
outer_2_inner_1,"Index(['original_shape_Elongation', 'original_shape_Flatness',
       'original_shape_SurfaceVolumeRatio',
       'original_gldm_LargeDependenceLowGrayLevelEmphasis',
       'original_glszm_ZonePercentage'],
      dtype='object')","{'subsample': 0.8, 'n_estimators': 50, 'max_depth': 30, 'learning_rate': 0.1}",0.5203619909502262
outer_2_inner_2,"Index(['original_shape_Elongation', 'original_shape_Flatness',
       'original_shape_SurfaceVolumeRatio',
       'original_glszm_SizeZoneNonUniformityNormalized',
       'original_glszm_SmallAreaEmphasis'],
      dtype='object')","{'subsample': 0.9, 'n_estimators': 50, 'max_depth': 10, 'learning_rate': 0.2}",0.6312217194570136
outer_2_inner_3,"Index(['original_shape_Elongation', 'original_shape_Flatness',
       'original_shape_SurfaceVolumeRatio',
       'original_gldm_SmallDependenceEmphasis',
       'original_glszm_ZonePercentage'],
      dtype='object')","{'subsample': 0.9, 'n_estimators': 50, 'max_depth': 30, 'learning_rate': 0.3}",0.662037037037037
outer_2_inner_4,"Index(['original_shape_Flatness', 'original_gldm_SmallDependenceEmphasis',
       'original_glszm_SizeZoneNonUniformityNormalized',
       'original_glszm_SmallAreaEmphasis', 'original_glszm_ZonePercentage'],
      dtype='object')","{'subsample': 1.0, 'n_estimators': 50, 'max_depth': 30, 'learning_rate': 0.1}",0.5555555555555556
outer_2_inner_5,"Index(['original_shape_Flatness', 'original_shape_SurfaceVolumeRatio',
       'original_gldm_SmallDependenceEmphasis',
       'original_glszm_SizeZoneNonUniformityNormalized',
       'original_glszm_ZonePercentage'],
      dtype='object')","{'subsample': 0.9, 'n_estimators': 50, 'max_depth': 30, 'learning_rate': 0.1}",0.736842105263158
