Fold,Features,Classifier_Params,AUC
outer_1_inner_1,"['original_shape_SurfaceVolumeRatio', 'original_glszm_GrayLevelNonUniformityNormalized', 'original_shape_Flatness', 'original_glszm_ZonePercentage', 'original_gldm_SmallDependenceEmphasis']","{'subsample': 1.0, 'n_estimators': 100, 'max_depth': 30, 'learning_rate': 0.3}",0.8214285714285714
outer_1_inner_2,"['original_shape_Flatness', 'original_glcm_Correlation', 'original_shape_Elongation', 'original_glszm_SmallAreaEmphasis', 'original_shape_SurfaceVolumeRatio']","{'subsample': 0.9, 'n_estimators': 50, 'max_depth': 20, 'learning_rate': 0.1}",0.579185520361991
outer_1_inner_3,"['original_shape_Flatness', 'original_firstorder_Range', 'original_shape_SurfaceVolumeRatio', 'original_glszm_SizeZoneNonUniformityNormalized', 'original_glcm_Correlation']","{'subsample': 0.9, 'n_estimators': 100, 'max_depth': 10, 'learning_rate': 0.3}",0.5925925925925926
outer_1_inner_4,"['original_shape_Flatness', 'original_glcm_Correlation', 'original_glszm_SmallAreaEmphasis', 'original_shape_SurfaceVolumeRatio', 'original_shape_Elongation']","{'subsample': 0.9, 'n_estimators': 150, 'max_depth': 20, 'learning_rate': 0.3}",0.5432692307692308
outer_1_inner_5,"['original_glszm_SizeZoneNonUniformityNormalized', 'original_glszm_LargeAreaHighGrayLevelEmphasis', 'original_shape_Flatness', 'original_glszm_SmallAreaEmphasis', 'original_gldm_LargeDependenceLowGrayLevelEmphasis']","{'subsample': 0.9, 'n_estimators': 50, 'max_depth': 10, 'learning_rate': 0.3}",0.5980392156862745
outer_2_inner_1,"['original_shape_Flatness', 'original_gldm_LowGrayLevelEmphasis', 'original_glszm_ZonePercentage', 'original_glcm_Correlation', 'original_shape_Elongation']","{'subsample': 0.9, 'n_estimators': 50, 'max_depth': 20, 'learning_rate': 0.1}",0.5475113122171946
outer_2_inner_2,"['original_shape_Flatness', 'original_glcm_Correlation', 'original_glszm_SmallAreaEmphasis', 'original_shape_SurfaceVolumeRatio', 'original_shape_Elongation']","{'subsample': 1.0, 'n_estimators': 50, 'max_depth': 30, 'learning_rate': 0.1}",0.6515837104072398
outer_2_inner_3,"['original_shape_Flatness', 'original_firstorder_RootMeanSquared', 'original_shape_SurfaceVolumeRatio', 'original_glrlm_LongRunLowGrayLevelEmphasis', 'original_shape_Elongation']","{'subsample': 0.8, 'n_estimators': 50, 'max_depth': 20, 'learning_rate': 0.1}",0.6666666666666667
outer_2_inner_4,"['original_glszm_SizeZoneNonUniformityNormalized', 'original_glszm_LargeAreaHighGrayLevelEmphasis', 'original_ngtdm_Coarseness', 'original_glszm_SmallAreaEmphasis', 'original_shape_Flatness']","{'subsample': 0.9, 'n_estimators': 50, 'max_depth': 30, 'learning_rate': 0.1}",0.7083333333333333
outer_2_inner_5,"['original_shape_SurfaceVolumeRatio', 'original_glrlm_LongRunLowGrayLevelEmphasis', 'original_shape_Flatness', 'original_glcm_Correlation', 'original_glszm_ZonePercentage']","{'subsample': 0.8, 'n_estimators': 50, 'max_depth': 10, 'learning_rate': 0.1}",0.7526315789473684
outer_3_inner_1,"['original_shape_Flatness', 'original_gldm_LargeDependenceHighGrayLevelEmphasis', 'original_glszm_ZonePercentage', 'original_shape_Elongation', 'original_shape_SurfaceVolumeRatio']","{'subsample': 0.9, 'n_estimators': 50, 'max_depth': 10, 'learning_rate': 0.1}",0.6
outer_3_inner_2,"['original_shape_Flatness', 'original_glcm_Correlation', 'original_glszm_SmallAreaEmphasis', 'original_shape_SurfaceVolumeRatio', 'original_gldm_LargeDependenceLowGrayLevelEmphasis']","{'subsample': 0.8, 'n_estimators': 50, 'max_depth': 10, 'learning_rate': 0.3}",0.6349206349206349
outer_3_inner_3,"['original_shape_Flatness', 'original_glcm_Correlation', 'original_glszm_SmallAreaEmphasis', 'original_shape_SurfaceVolumeRatio', 'original_shape_Elongation']","{'subsample': 0.8, 'n_estimators': 150, 'max_depth': 10, 'learning_rate': 0.1}",0.5248868778280543
outer_3_inner_4,"['original_shape_SurfaceVolumeRatio', 'original_firstorder_Skewness', 'original_glcm_Correlation', 'original_shape_Flatness', 'original_glszm_SmallAreaEmphasis']","{'subsample': 0.9, 'n_estimators': 50, 'max_depth': 20, 'learning_rate': 0.2}",0.8371040723981901
outer_3_inner_5,"['original_shape_Flatness', 'original_firstorder_Range', 'original_glrlm_LongRunEmphasis', 'original_shape_SurfaceVolumeRatio', 'original_glszm_SizeZoneNonUniformityNormalized']","{'subsample': 0.8, 'n_estimators': 50, 'max_depth': 30, 'learning_rate': 0.1}",0.6777777777777778
outer_4_inner_1,"['original_shape_Flatness', 'original_glcm_Correlation', 'original_glszm_SmallAreaEmphasis', 'original_shape_SurfaceVolumeRatio', 'original_shape_Elongation']","{'subsample': 0.8, 'n_estimators': 50, 'max_depth': 20, 'learning_rate': 0.3}",0.5311004784688995
