Fold,Features,Classifier_Params,AUC
outer_1_inner_1,"['original_shape_SurfaceVolumeRatio', 'original_glszm_GrayLevelNonUniformityNormalized', 'original_shape_Flatness', 'weight', 'original_glszm_ZonePercentage']","{'l1_ratio': 0.3, 'C': 1}",0.8214285714285714
outer_1_inner_2,"['original_shape_Flatness', 'original_glcm_Correlation', 'original_shape_Elongation', 'original_glszm_SmallAreaEmphasis', 'original_shape_SurfaceVolumeRatio']","{'l1_ratio': 0.3, 'C': 1}",0.6063348416289593
outer_1_inner_3,"['original_shape_Flatness', 'original_firstorder_Range', 'original_shape_SurfaceVolumeRatio', 'weight', 'original_glszm_SizeZoneNonUniformityNormalized']","{'l1_ratio': 0.3, 'C': 10}",0.8240740740740742
outer_1_inner_4,"['original_shape_Flatness', 'original_glcm_Correlation', 'original_glszm_SmallAreaEmphasis', 'original_shape_SurfaceVolumeRatio', 'weight']","{'l1_ratio': 0.3, 'C': 0.1}",0.8028846153846154
outer_1_inner_5,"['original_glszm_SizeZoneNonUniformityNormalized', 'original_glszm_LargeAreaHighGrayLevelEmphasis', 'weight', 'original_shape_Flatness', 'original_glszm_SmallAreaEmphasis']","{'l1_ratio': 0.5, 'C': 10}",0.5686274509803921
outer_2_inner_1,"['original_shape_Flatness', 'original_gldm_LowGrayLevelEmphasis', 'original_glszm_ZonePercentage', 'original_glcm_Correlation', 'original_shape_Elongation']","{'l1_ratio': 0.3, 'C': 10}",0.579185520361991
outer_2_inner_2,"['original_shape_Flatness', 'original_glcm_Correlation', 'original_glszm_SmallAreaEmphasis', 'original_shape_SurfaceVolumeRatio', 'weight']","{'l1_ratio': 0.3, 'C': 10}",0.751131221719457
outer_2_inner_3,"['original_shape_Flatness', 'original_firstorder_RootMeanSquared', 'original_shape_SurfaceVolumeRatio', 'weight', 'original_shape_Elongation']","{'l1_ratio': 1, 'C': 1}",0.6990740740740742
outer_2_inner_4,"['original_glszm_SizeZoneNonUniformityNormalized', 'original_glszm_LargeAreaHighGrayLevelEmphasis', 'weight', 'original_ngtdm_Coarseness', 'original_glszm_SmallAreaEmphasis']","{'l1_ratio': 1, 'C': 1}",0.5601851851851852
outer_2_inner_5,"['original_shape_SurfaceVolumeRatio', 'original_glrlm_LongRunLowGrayLevelEmphasis', 'original_shape_Flatness', 'original_glcm_Correlation', 'weight']","{'l1_ratio': 0.3, 'C': 10}",0.8947368421052632
outer_3_inner_1,"['original_shape_Flatness', 'original_gldm_LargeDependenceHighGrayLevelEmphasis', 'weight', 'original_glszm_ZonePercentage', 'original_shape_Elongation']","{'l1_ratio': 0.5, 'C': 0.1}",0.7350000000000001
outer_3_inner_2,"['original_shape_Flatness', 'original_glcm_Correlation', 'original_glszm_SmallAreaEmphasis', 'original_shape_SurfaceVolumeRatio', 'original_gldm_LargeDependenceLowGrayLevelEmphasis']","{'l1_ratio': 0.3, 'C': 0.1}",0.6772486772486772
outer_3_inner_3,"['original_shape_Flatness', 'weight', 'original_glszm_SizeZoneNonUniformityNormalized', 'original_shape_SurfaceVolumeRatio', 'original_shape_Elongation']","{'l1_ratio': 0.3, 'C': 1}",0.7013574660633484
outer_3_inner_4,"['original_shape_SurfaceVolumeRatio', 'original_firstorder_Skewness', 'weight', 'original_glcm_Correlation', 'original_shape_Flatness']","{'l1_ratio': 0.3, 'C': 1}",0.8325791855203619
outer_3_inner_5,"['original_shape_Flatness', 'original_firstorder_Range', 'weight', 'original_glrlm_LongRunEmphasis', 'original_shape_SurfaceVolumeRatio']","{'l1_ratio': 0.3, 'C': 0.1}",0.7222222222222222
outer_4_inner_1,"['original_shape_Flatness', 'original_glcm_Correlation', 'original_glszm_SmallAreaEmphasis', 'original_shape_SurfaceVolumeRatio', 'weight']","{'l1_ratio': 0.3, 'C': 1}",0.7368421052631579
outer_4_inner_2,"['original_shape_Flatness', 'original_glcm_Correlation', 'original_glszm_SizeZoneNonUniformityNormalized', 'original_shape_SurfaceVolumeRatio', 'weight']","{'l1_ratio': 0.3, 'C': 1}",0.845
outer_4_inner_3,"['original_shape_Flatness', 'original_glcm_Correlation', 'original_glszm_SmallAreaEmphasis', 'original_shape_SurfaceVolumeRatio', 'weight']","{'l1_ratio': 0.3, 'C': 10}",0.875
outer_4_inner_4,"['original_shape_SurfaceVolumeRatio', 'original_glrlm_LongRunLowGrayLevelEmphasis', 'original_glcm_Correlation', 'original_shape_Flatness', 'original_glszm_SizeZoneNonUniformityNormalized']","{'l1_ratio': 1, 'C': 1}",0.8660714285714286
outer_4_inner_5,"['original_shape_Flatness', 'original_glcm_Correlation', 'original_glszm_SmallAreaEmphasis', 'weight', 'original_glszm_ZonePercentage']","{'l1_ratio': 0.3, 'C': 1}",0.6767676767676767
outer_5_inner_1,"['original_shape_Flatness', 'original_glcm_Correlation', 'original_glszm_SmallAreaEmphasis', 'original_shape_SurfaceVolumeRatio', 'weight']","{'l1_ratio': 0.3, 'C': 1}",0.72
outer_5_inner_2,"['original_shape_Flatness', 'weight', 'original_glszm_SizeZoneNonUniformityNormalized', 'original_glcm_Correlation', 'original_shape_SurfaceVolumeRatio']","{'l1_ratio': 0.3, 'C': 0.1}",0.9321266968325792
outer_5_inner_3,"['original_shape_Flatness', 'weight', 'original_glszm_SizeZoneNonUniformityNormalized', 'original_shape_SurfaceVolumeRatio', 'original_shape_Elongation']","{'l1_ratio': 0.3, 'C': 0.1}",0.6607142857142857
outer_5_inner_4,"['original_shape_Flatness', 'original_glcm_Correlation', 'weight', 'original_glszm_SizeZoneNonUniformityNormalized', 'original_shape_SurfaceVolumeRatio']","{'l1_ratio': 0.3, 'C': 1}",0.8888888888888888
outer_5_inner_5,"['original_shape_Flatness', 'original_glcm_Correlation', 'original_glszm_SmallAreaEmphasis', 'original_shape_SurfaceVolumeRatio', 'weight']","{'l1_ratio': 0.3, 'C': 1}",0.8317307692307692
