Fold,Features,Classifier_Params,AUC
outer_1_inner_1,"Index(['original_shape_Flatness', 'original_shape_SurfaceVolumeRatio',
       'original_gldm_DependenceNonUniformityNormalized',
       'original_gldm_SmallDependenceEmphasis',
       'original_glszm_ZonePercentage'],
      dtype='object')","{'n_estimators': 200, 'max_depth': 20}",0.7410714285714285
outer_1_inner_2,"Index(['original_shape_Elongation', 'original_shape_Flatness',
       'original_shape_SurfaceVolumeRatio',
       'original_gldm_SmallDependenceLowGrayLevelEmphasis',
       'original_glrlm_ShortRunEmphasis'],
      dtype='object')","{'n_estimators': 100, 'max_depth': 10}",0.5904977375565611
outer_1_inner_3,"Index(['original_shape_Flatness', 'original_shape_SurfaceVolumeRatio',
       'original_gldm_SmallDependenceEmphasis',
       'original_glszm_SizeZoneNonUniformityNormalized',
       'original_glszm_ZonePercentage'],
      dtype='object')","{'n_estimators': 200, 'max_depth': 20}",0.6782407407407407
outer_1_inner_4,"Index(['original_shape_Elongation', 'original_shape_Flatness',
       'original_shape_SurfaceVolumeRatio',
       'original_gldm_SmallDependenceEmphasis',
       'original_glszm_ZonePercentage'],
      dtype='object')","{'n_estimators': 200, 'max_depth': 20}",0.6274038461538461
outer_1_inner_5,"Index(['original_shape_Flatness',
       'original_gldm_LargeDependenceLowGrayLevelEmphasis',
       'original_glszm_SizeZoneNonUniformityNormalized',
       'original_glszm_SmallAreaEmphasis', 'weight'],
      dtype='object')","{'n_estimators': 200, 'max_depth': 20}",0.5196078431372549
outer_2_inner_1,"Index(['original_shape_Elongation', 'original_shape_Flatness',
       'original_shape_SurfaceVolumeRatio',
       'original_gldm_LargeDependenceLowGrayLevelEmphasis',
       'original_glszm_ZonePercentage'],
      dtype='object')","{'n_estimators': 50, 'max_depth': 20}",0.6018099547511312
outer_2_inner_2,"Index(['original_shape_Elongation', 'original_shape_Flatness',
       'original_shape_SurfaceVolumeRatio',
       'original_glszm_SizeZoneNonUniformityNormalized',
       'original_glszm_SmallAreaEmphasis'],
      dtype='object')","{'n_estimators': 200, 'max_depth': 10}",0.7194570135746607
outer_2_inner_3,"Index(['original_shape_Elongation', 'original_shape_Flatness',
       'original_shape_SurfaceVolumeRatio',
       'original_gldm_SmallDependenceEmphasis',
       'original_glszm_ZonePercentage'],
      dtype='object')","{'n_estimators': 200, 'max_depth': 10}",0.6944444444444444
outer_2_inner_4,"Index(['original_shape_Flatness', 'original_gldm_SmallDependenceEmphasis',
       'original_glszm_SizeZoneNonUniformityNormalized',
       'original_glszm_SmallAreaEmphasis', 'original_glszm_ZonePercentage'],
      dtype='object')","{'n_estimators': 200, 'max_depth': 10}",0.6018518518518519
outer_2_inner_5,"Index(['original_shape_Flatness', 'original_shape_SurfaceVolumeRatio',
       'original_gldm_SmallDependenceEmphasis',
       'original_glszm_SizeZoneNonUniformityNormalized',
       'original_glszm_ZonePercentage'],
      dtype='object')","{'n_estimators': 200, 'max_depth': 10}",0.8421052631578947
outer_3_inner_1,"Index(['original_shape_Elongation', 'original_shape_Flatness',
       'original_shape_SurfaceVolumeRatio',
       'original_gldm_SmallDependenceEmphasis',
       'original_glszm_ZonePercentage'],
      dtype='object')","{'n_estimators': 200, 'max_depth': 20}",0.6325
outer_3_inner_2,"Index(['original_shape_Flatness',
       'original_gldm_LargeDependenceLowGrayLevelEmphasis',
       'original_glszm_SizeZoneNonUniformityNormalized',
       'original_glszm_SmallAreaEmphasis', 'original_glszm_ZonePercentage'],
      dtype='object')","{'n_estimators': 200, 'max_depth': 10}",0.5714285714285714
outer_3_inner_3,"Index(['original_shape_Elongation', 'original_shape_Flatness',
       'original_shape_SurfaceVolumeRatio',
       'original_glszm_SizeZoneNonUniformityNormalized',
       'original_glszm_ZonePercentage'],
      dtype='object')","{'n_estimators': 50, 'max_depth': 10}",0.5904977375565611
outer_3_inner_4,"Index(['original_shape_Flatness', 'original_shape_SurfaceVolumeRatio',
       'original_gldm_SmallDependenceEmphasis',
       'original_glszm_SizeZoneNonUniformityNormalized',
       'original_glszm_ZonePercentage'],
      dtype='object')","{'n_estimators': 50, 'max_depth': 10}",0.8167420814479638
outer_3_inner_5,"Index(['original_shape_Flatness', 'original_shape_SurfaceVolumeRatio',
       'original_gldm_SmallDependenceEmphasis',
       'original_glrlm_ShortRunEmphasis', 'original_glszm_ZonePercentage'],
      dtype='object')","{'n_estimators': 50, 'max_depth': 20}",0.7805555555555556
outer_4_inner_1,"Index(['original_shape_Elongation', 'original_shape_Flatness',
       'original_shape_SurfaceVolumeRatio',
       'original_glszm_SizeZoneNonUniformityNormalized',
       'original_glszm_SmallAreaEmphasis'],
      dtype='object')","{'n_estimators': 200, 'max_depth': 10}",0.569377990430622
outer_4_inner_2,"Index(['original_shape_Elongation', 'original_shape_Flatness',
       'original_shape_SurfaceVolumeRatio',
       'original_glszm_SizeZoneNonUniformityNormalized',
       'original_glszm_ZonePercentage'],
      dtype='object')","{'n_estimators': 200, 'max_depth': 20}",0.595
outer_4_inner_3,"Index(['original_shape_Flatness', 'original_shape_SurfaceVolumeRatio',
       'original_gldm_SmallDependenceEmphasis',
       'original_glszm_ZonePercentage', 'original_ngtdm_Coarseness'],
      dtype='object')","{'n_estimators': 200, 'max_depth': 10}",0.7991071428571428
outer_4_inner_4,"Index(['original_shape_Flatness', 'original_shape_SurfaceVolumeRatio',
       'original_gldm_SmallDependenceEmphasis',
       'original_glszm_SizeZoneNonUniformityNormalized',
       'original_glszm_ZonePercentage'],
      dtype='object')","{'n_estimators': 200, 'max_depth': 10}",0.5758928571428572
outer_4_inner_5,"Index(['original_shape_Elongation', 'original_shape_Flatness',
       'original_gldm_SmallDependenceEmphasis',
       'original_glszm_SizeZoneNonUniformityNormalized', 'weight'],
      dtype='object')","{'n_estimators': 50, 'max_depth': 10}",0.7222222222222222
outer_5_inner_1,"Index(['original_shape_Elongation', 'original_shape_Flatness',
       'original_shape_SurfaceVolumeRatio',
       'original_glszm_SizeZoneNonUniformityNormalized',
       'original_glszm_ZonePercentage'],
      dtype='object')","{'n_estimators': 200, 'max_depth': 10}",0.56
outer_5_inner_2,"Index(['original_shape_Flatness', 'original_shape_SurfaceVolumeRatio',
       'original_gldm_SmallDependenceEmphasis',
       'original_glszm_SizeZoneNonUniformityNormalized',
       'original_glszm_ZonePercentage'],
      dtype='object')","{'n_estimators': 50, 'max_depth': 10}",0.8009049773755657
outer_5_inner_3,"Index(['original_shape_Elongation', 'original_shape_Flatness',
       'original_shape_SurfaceVolumeRatio',
       'original_gldm_SmallDependenceEmphasis',
       'original_glszm_ZonePercentage'],
      dtype='object')","{'n_estimators': 100, 'max_depth': 10}",0.5982142857142857
outer_5_inner_4,"Index(['original_shape_Elongation', 'original_shape_Flatness',
       'original_shape_SurfaceVolumeRatio', 'original_glszm_ZonePercentage',
       'weight'],
      dtype='object')","{'n_estimators': 200, 'max_depth': 20}",0.8055555555555556
