Fold,Features,Classifier_Params,AUC
outer_1_inner_1,"['original_shape_SurfaceVolumeRatio', 'original_glszm_GrayLevelNonUniformityNormalized', 'original_shape_Flatness', 'weight', 'original_glszm_ZonePercentage']","{'n_estimators': 50, 'max_depth': 20}",0.8861607142857142
outer_1_inner_2,"['original_shape_Flatness', 'original_glcm_Correlation', 'original_shape_Elongation', 'original_glszm_SmallAreaEmphasis', 'original_shape_SurfaceVolumeRatio']","{'n_estimators': 200, 'max_depth': 10}",0.6380090497737557
outer_1_inner_3,"['original_shape_Flatness', 'original_firstorder_Range', 'original_shape_SurfaceVolumeRatio', 'weight', 'original_glszm_SizeZoneNonUniformityNormalized']","{'n_estimators': 200, 'max_depth': 20}",0.787037037037037
outer_1_inner_4,"['original_shape_Flatness', 'original_glcm_Correlation', 'original_glszm_SmallAreaEmphasis', 'original_shape_SurfaceVolumeRatio', 'weight']","{'n_estimators': 200, 'max_depth': 20}",0.6923076923076923
outer_1_inner_5,"['original_glszm_SizeZoneNonUniformityNormalized', 'original_glszm_LargeAreaHighGrayLevelEmphasis', 'weight', 'original_shape_Flatness', 'original_glszm_SmallAreaEmphasis']","{'n_estimators': 200, 'max_depth': 10}",0.5416666666666667
outer_2_inner_1,"['original_shape_Flatness', 'original_gldm_LowGrayLevelEmphasis', 'original_glszm_ZonePercentage', 'original_glcm_Correlation', 'original_shape_Elongation']","{'n_estimators': 200, 'max_depth': 10}",0.5927601809954751
outer_2_inner_2,"['original_shape_Flatness', 'original_glcm_Correlation', 'original_glszm_SmallAreaEmphasis', 'original_shape_SurfaceVolumeRatio', 'weight']","{'n_estimators': 200, 'max_depth': 10}",0.7239819004524887
outer_2_inner_3,"['original_shape_Flatness', 'original_firstorder_RootMeanSquared', 'original_shape_SurfaceVolumeRatio', 'weight', 'original_shape_Elongation']","{'n_estimators': 200, 'max_depth': 10}",0.6759259259259258
outer_2_inner_4,"['original_glszm_SizeZoneNonUniformityNormalized', 'original_glszm_LargeAreaHighGrayLevelEmphasis', 'weight', 'original_ngtdm_Coarseness', 'original_glszm_SmallAreaEmphasis']","{'n_estimators': 50, 'max_depth': 20}",0.6527777777777778
outer_2_inner_5,"['original_shape_SurfaceVolumeRatio', 'original_glrlm_LongRunLowGrayLevelEmphasis', 'original_shape_Flatness', 'original_glcm_Correlation', 'weight']","{'n_estimators': 200, 'max_depth': 20}",0.8157894736842105
outer_3_inner_1,"['original_shape_Flatness', 'original_gldm_LargeDependenceHighGrayLevelEmphasis', 'weight', 'original_glszm_ZonePercentage', 'original_shape_Elongation']","{'n_estimators': 50, 'max_depth': 20}",0.6375
outer_3_inner_2,"['original_shape_Flatness', 'original_glcm_Correlation', 'original_glszm_SmallAreaEmphasis', 'original_shape_SurfaceVolumeRatio', 'original_gldm_LargeDependenceLowGrayLevelEmphasis']","{'n_estimators': 50, 'max_depth': 10}",0.5291005291005291
outer_3_inner_3,"['original_shape_Flatness', 'weight', 'original_glszm_SizeZoneNonUniformityNormalized', 'original_shape_SurfaceVolumeRatio', 'original_shape_Elongation']","{'n_estimators': 50, 'max_depth': 20}",0.6402714932126696
outer_3_inner_4,"['original_shape_SurfaceVolumeRatio', 'original_firstorder_Skewness', 'weight', 'original_glcm_Correlation', 'original_shape_Flatness']","{'n_estimators': 50, 'max_depth': 10}",0.8552036199095023
outer_3_inner_5,"['original_shape_Flatness', 'original_firstorder_Range', 'weight', 'original_glrlm_LongRunEmphasis', 'original_shape_SurfaceVolumeRatio']","{'n_estimators': 200, 'max_depth': 10}",0.7
outer_4_inner_1,"['original_shape_Flatness', 'original_glcm_Correlation', 'original_glszm_SmallAreaEmphasis', 'original_shape_SurfaceVolumeRatio', 'weight']","{'n_estimators': 200, 'max_depth': 10}",0.5406698564593302
outer_4_inner_2,"['original_shape_Flatness', 'original_glcm_Correlation', 'original_glszm_SizeZoneNonUniformityNormalized', 'original_shape_SurfaceVolumeRatio', 'weight']","{'n_estimators': 50, 'max_depth': 10}",0.725
outer_4_inner_3,"['original_shape_Flatness', 'original_glcm_Correlation', 'original_glszm_SmallAreaEmphasis', 'original_shape_SurfaceVolumeRatio', 'weight']","{'n_estimators': 200, 'max_depth': 20}",0.7589285714285714
outer_4_inner_4,"['original_shape_SurfaceVolumeRatio', 'original_glrlm_LongRunLowGrayLevelEmphasis', 'original_glcm_Correlation', 'original_shape_Flatness', 'original_glszm_SizeZoneNonUniformityNormalized']","{'n_estimators': 100, 'max_depth': 10}",0.6160714285714286
outer_4_inner_5,"['original_shape_Flatness', 'original_glcm_Correlation', 'original_glszm_SmallAreaEmphasis', 'weight', 'original_glszm_ZonePercentage']","{'n_estimators': 200, 'max_depth': 20}",0.702020202020202
outer_5_inner_1,"['original_shape_Flatness', 'original_glcm_Correlation', 'original_glszm_SmallAreaEmphasis', 'original_shape_SurfaceVolumeRatio', 'weight']","{'n_estimators': 200, 'max_depth': 20}",0.6174999999999999
outer_5_inner_2,"['original_shape_Flatness', 'weight', 'original_glszm_SizeZoneNonUniformityNormalized', 'original_glcm_Correlation', 'original_shape_SurfaceVolumeRatio']","{'n_estimators': 200, 'max_depth': 10}",0.8371040723981901
outer_5_inner_3,"['original_shape_Flatness', 'weight', 'original_glszm_SizeZoneNonUniformityNormalized', 'original_shape_SurfaceVolumeRatio', 'original_shape_Elongation']","{'n_estimators': 200, 'max_depth': 20}",0.6696428571428572
outer_5_inner_4,"['original_shape_Flatness', 'original_glcm_Correlation', 'weight', 'original_glszm_SizeZoneNonUniformityNormalized', 'original_shape_SurfaceVolumeRatio']","{'n_estimators': 50, 'max_depth': 10}",0.7893518518518519
outer_5_inner_5,"['original_shape_Flatness', 'original_glcm_Correlation', 'original_glszm_SmallAreaEmphasis', 'original_shape_SurfaceVolumeRatio', 'weight']","{'n_estimators': 200, 'max_depth': 20}",0.6730769230769231
