Fold,Features,Classifier_Params,AUC
outer_1_inner_1,"['original_shape_SurfaceVolumeRatio', 'original_glszm_GrayLevelNonUniformityNormalized', 'original_shape_Flatness', 'weight', 'original_glszm_ZonePercentage']","{'subsample': 1.0, 'n_estimators': 50, 'max_depth': 30, 'learning_rate': 0.1}",0.8928571428571428
outer_1_inner_2,"['original_shape_Flatness', 'original_glcm_Correlation', 'original_shape_Elongation', 'original_glszm_SmallAreaEmphasis', 'original_shape_SurfaceVolumeRatio']","{'subsample': 0.9, 'n_estimators': 50, 'max_depth': 30, 'learning_rate': 0.1}",0.579185520361991
outer_1_inner_3,"['original_shape_Flatness', 'original_firstorder_Range', 'original_shape_SurfaceVolumeRatio', 'weight', 'original_glszm_SizeZoneNonUniformityNormalized']","{'subsample': 0.8, 'n_estimators': 50, 'max_depth': 30, 'learning_rate': 0.1}",0.7453703703703703
outer_1_inner_4,"['original_shape_Flatness', 'original_glcm_Correlation', 'original_glszm_SmallAreaEmphasis', 'original_shape_SurfaceVolumeRatio', 'weight']","{'subsample': 0.8, 'n_estimators': 150, 'max_depth': 10, 'learning_rate': 0.1}",0.6153846153846154
outer_1_inner_5,"['original_glszm_SizeZoneNonUniformityNormalized', 'original_glszm_LargeAreaHighGrayLevelEmphasis', 'weight', 'original_shape_Flatness', 'original_glszm_SmallAreaEmphasis']","{'subsample': 0.9, 'n_estimators': 50, 'max_depth': 30, 'learning_rate': 0.1}",0.553921568627451
outer_2_inner_1,"['original_shape_Flatness', 'original_gldm_LowGrayLevelEmphasis', 'original_glszm_ZonePercentage', 'original_glcm_Correlation', 'original_shape_Elongation']","{'subsample': 0.9, 'n_estimators': 50, 'max_depth': 20, 'learning_rate': 0.1}",0.5475113122171946
outer_2_inner_2,"['original_shape_Flatness', 'original_glcm_Correlation', 'original_glszm_SmallAreaEmphasis', 'original_shape_SurfaceVolumeRatio', 'weight']","{'subsample': 1.0, 'n_estimators': 50, 'max_depth': 30, 'learning_rate': 0.1}",0.6696832579185521
outer_2_inner_3,"['original_shape_Flatness', 'original_firstorder_RootMeanSquared', 'original_shape_SurfaceVolumeRatio', 'weight', 'original_shape_Elongation']","{'subsample': 0.9, 'n_estimators': 50, 'max_depth': 30, 'learning_rate': 0.1}",0.6759259259259259
outer_2_inner_4,"['original_glszm_SizeZoneNonUniformityNormalized', 'original_glszm_LargeAreaHighGrayLevelEmphasis', 'weight', 'original_ngtdm_Coarseness', 'original_glszm_SmallAreaEmphasis']","{'subsample': 0.8, 'n_estimators': 100, 'max_depth': 30, 'learning_rate': 0.3}",0.6203703703703703
outer_2_inner_5,"['original_shape_SurfaceVolumeRatio', 'original_glrlm_LongRunLowGrayLevelEmphasis', 'original_shape_Flatness', 'original_glcm_Correlation', 'weight']","{'subsample': 0.9, 'n_estimators': 50, 'max_depth': 20, 'learning_rate': 0.2}",0.7789473684210527
outer_3_inner_1,"['original_shape_Flatness', 'original_gldm_LargeDependenceHighGrayLevelEmphasis', 'weight', 'original_glszm_ZonePercentage', 'original_shape_Elongation']","{'subsample': 1.0, 'n_estimators': 50, 'max_depth': 20, 'learning_rate': 0.1}",0.68
